ID,Total_Cell_Count,MCavg_Norm_Cell_Count,MCavg_Norm_Proliferative,Categories
hsa-miR-3140-3p,293.5,0.561375545,0,Toxic
hsa-miR-6514-3p,299,0.57189536,0,Toxic
hsa-miR-4538,319.5,0.611105577,0,Toxic
hsa-miR-1293,326.5,0.624494431,0,Toxic
hsa-miR-491-3p,358,0.684744277,0,Candidate
hsa-miR-5681b,372,0.711521986,0,Candidate
hsa-miR-4774-3p,378.5,0.723954494,0,Candidate
hsa-miR-526b-5p,380,0.726823534,0,Anti
hsa-miR-16-5p,402,0.768902791,0,Anti
hsa-miR-1827,422.5,0.808113008,0,Candidate
hsa-miR-892b,423,0.809069355,0,Candidate
hsa-miR-449b-5p,435,0.832021677,0,Candidate
hsa-miR-323a-3p,441.5,0.844454185,0,Candidate
hsa-miR-34a-3p,496,0.948695981,0,Anti
hsa-miR-342-5p,351.5,0.672311769,0.006907966,Anti
hsa-miR-4753-5p,353.5,0.676137156,0.006907966,Anti
hsa-miR-214-5p,370.5,0.708652946,0.006907966,Anti
hsa-miR-3157-5p,370.5,0.708652946,0.006907966,Anti
hsa-miR-1295a,371.5,0.710565639,0.006907966,Anti
hsa-miR-506-3p,379,0.724910841,0.006907966,Anti
hsa-miR-5591-3p,380,0.726823534,0.006907966,Anti
hsa-miR-34b-5p,399.5,0.764121058,0.006907966,Anti
hsa-miR-571,400,0.765077404,0.006907966,Anti
hsa-miR-497-5p,404.5,0.773684525,0.006907966,Anti
hsa-miR-3154,406,0.776553565,0.006907966,Anti
hsa-miR-148b-5p,415.5,0.794724154,0.006907966,Anti
hsa-miR-3115,420,0.803331275,0.006907966,Anti
hsa-let-7g-3p,423,0.809069355,0.006907966,Anti
hsa-miR-34a-5p,438,0.837759758,0.006907966,Anti
hsa-miR-4423-3p,439.5,0.840628798,0.006907966,Anti
hsa-miR-5000-5p,451,0.862624773,0.006907966,Anti
UBC,125.25,0.239564862,0.010937612,Toxic
hsa-miR-876-3p,325,0.621625391,0.013815931,Toxic
hsa-miR-3913-3p,350.5,0.670399076,0.013815931,Anti
hsa-miR-221-5p,360,0.688569664,0.013815931,Anti
hsa-miR-593-3p,361,0.690482357,0.013815931,Anti
hsa-miR-548au-3p,366,0.700045825,0.013815931,Anti
hsa-miR-34c-5p,372,0.711521986,0.013815931,Anti
hsa-miR-885-3p,400.5,0.766033751,0.013815931,Anti
hsa-miR-5584-3p,401,0.766990098,0.013815931,Anti
hsa-miR-4797-5p,413,0.78994242,0.013815931,Anti
hsa-miR-644a,414,0.791855113,0.013815931,Anti
hsa-miR-183-5p,415,0.793767807,0.013815931,Anti
hsa-miR-3191-3p,419,0.801418581,0.013815931,Anti
hsa-miR-9-3p,435,0.832021677,0.013815931,Anti
hsa-miR-1306-3p,435.5,0.832978024,0.013815931,Anti
hsa-miR-15a-5p,443,0.847323225,0.013815931,Anti
hsa-miR-6512-3p,444,0.849235919,0.013815931,Anti
hsa-miR-1256,446,0.853061306,0.013815931,Anti
hsa-miR-4677-5p,449.5,0.859755733,0.013815931,Anti
hsa-miR-5581-5p,281.5,0.538423223,0.020723897,Toxic
hsa-miR-4762-3p,376.5,0.720129107,0.020723897,Anti
hsa-miR-4453,377,0.721085454,0.020723897,Anti
hsa-miR-141-5p,380,0.726823534,0.020723897,Anti
hsa-miR-3591-3p,382.5,0.731605268,0.020723897,Anti
hsa-miR-192-5p,388.5,0.743081429,0.020723897,Anti
hsa-miR-5586-5p,392,0.749775856,0.020723897,Anti
hsa-miR-3179,397,0.759339324,0.020723897,Anti
hsa-miR-203b-5p,397.5,0.760295671,0.020723897,Anti
hsa-miR-1200,401.5,0.767946445,0.020723897,Anti
hsa-miR-646,410.5,0.785160686,0.020723897,Anti
hsa-miR-449a,417.5,0.798549541,0.020723897,Anti
hsa-miR-3682-5p,418,0.799505887,0.020723897,Anti
hsa-miR-1257,443,0.847323225,0.020723897,Anti
hsa-miR-1205,454.5,0.869319201,0.020723897,Anti
hsa-miR-182-3p,462.5,0.884620749,0.020723897,Anti
hsa-miR-605,479,0.916180192,0.020723897,Anti
hsa-miR-3677-5p,487.5,0.932438086,0.020723897,Anti
hsa-miR-208a,505,0.965910223,0.020723897,Anti
hsa-miR-3170,301.5,0.576677093,0.027631863,Toxic
hsa-miR-124-3p,340.5,0.65127214,0.027631863,Anti
hsa-miR-193b-3p,347.5,0.664660995,0.027631863,Anti
hsa-miR-6505-3p,366.5,0.701002172,0.027631863,Anti
hsa-miR-4524a-5p,385,0.736387002,0.027631863,Anti
hsa-miR-4659b-3p,386,0.738299695,0.027631863,Anti
hsa-miR-513a-3p,398.5,0.762208364,0.027631863,Anti
hsa-miR-4460,417.5,0.798549541,0.027631863,Anti
hsa-miR-1207-3p,422,0.807156662,0.027631863,Anti
hsa-miR-2682-5p,425,0.812894742,0.027631863,Anti
hsa-miR-4315,433,0.82819629,0.027631863,Anti
hsa-miR-215,465.5,0.890358829,0.027631863,Anti
hsa-miR-4493,500.5,0.957303102,0.027631863,Anti
