id,Total_Cell_Count,Proliferative_Cell_Count,Proliferative_Cell_Percentage
UNTR_LIPO,724.5472973,309.4797297,42.71353035
UBC,125.25,0.791666667,0.632069195
MC4,504.3125,64.9375,12.8764407
MC3,416.7291667,2.9375,0.704894266
MC2,500.3333333,126.9166667,25.36642239
MC1,669.9166667,94.72916667,14.14044035
hsa-miR-99b-5p,557.5,55,9.865470852
hsa-miR-99b-3p,491,35.5,7.230142566
hsa-miR-99a-5p,548.5,60.5,11.03008204
hsa-miR-99a-3p,553.5,64.5,11.65311653
hsa-miR-98-5p,564.5,76.5,13.55181577
hsa-miR-98-3p,479,39,8.141962422
hsa-miR-96-5p,415,3.5,0.843373494
hsa-miR-96-3p,630.5,146.5,23.23552736
hsa-miR-95,480,47,9.791666667
hsa-miR-944,445.5,16.5,3.703703704
hsa-miR-943,715.5,106.5,14.88469602
hsa-miR-942,564.5,38.5,6.820194863
hsa-miR-941,649.5,212,32.64049269
hsa-miR-940,465,11,2.365591398
hsa-miR-939-5p,957,187,19.54022989
hsa-miR-939-3p,554.5,68.5,12.3534716
hsa-miR-938,569.5,54.5,9.569798068
hsa-miR-937-5p,635,154,24.2519685
hsa-miR-937-3p,678,124.5,18.36283186
hsa-miR-936,816,281,34.43627451
hsa-miR-935,550,8,1.454545455
hsa-miR-934,527,104,19.73434535
hsa-miR-933,1012.5,266.5,26.32098765
hsa-miR-93-5p,1019.5,294.5,28.88670917
hsa-miR-93-3p,514,13.5,2.626459144
hsa-miR-92b-5p,831,289,34.77737665
hsa-miR-92b-3p,810,263.5,32.5308642
hsa-miR-92a-3p,735.5,199,27.0564242
hsa-miR-92a-2-5p,668,148.5,22.23053892
hsa-miR-92a-1-5p,406,11,2.709359606
hsa-miR-924,553,73,13.20072333
hsa-miR-923 Not in mirbase v21.0,NA,NA,NA
hsa-miR-922,735.5,182.5,24.81305235
hsa-miR-921,573.5,42,7.323452485
hsa-miR-920,665,164,24.66165414
hsa-miR-9-5p,521.5,28.5,5.465004794
hsa-miR-9-3p,435,1,0.229885057
hsa-miR-892c-5p,470.5,76,16.15302869
hsa-miR-892c-3p,472,38.5,8.156779661
hsa-miR-892b,423,0,0
hsa-miR-892a,575,50,8.695652174
hsa-miR-891b,448.5,9.5,2.118171683
hsa-miR-891a,677.5,209.5,30.92250923
hsa-miR-890,431.5,3,0.695249131
hsa-miR-889,683.5,98,14.33796635
hsa-miR-888-5p,593,112.5,18.97133221
hsa-miR-888-3p,554,16.5,2.97833935
hsa-miR-887-3p,567,41.5,7.319223986
hsa-miR-886-5p Not in mirbase v21.0,NA,NA,NA
hsa-miR-886-3p Not in mirbase v21.0,NA,NA,NA
hsa-miR-885-5p,638,90.5,14.18495298
hsa-miR-885-3p,400.5,1,0.24968789
hsa-miR-877-5p,735,255.5,34.76190476
hsa-miR-877-3p,543.5,17,3.127874885
hsa-miR-876-5p,619.5,79,12.75221953
hsa-miR-876-3p,325,1,0.307692308
hsa-miR-875-5p,526.5,41.5,7.882241216
hsa-miR-875-3p,701,170.5,24.32239658
hsa-miR-874,695.5,90.5,13.01222142
hsa-miR-873-5p,831,297.5,35.80024067
hsa-miR-873-3p,901.5,352.5,39.1014975
hsa-miR-802,490,21.5,4.387755102
hsa-miR-801 Not in mirbase v21.0,NA,NA,NA
hsa-miR-770-5p,720.5,168.5,23.38653713
hsa-miR-769-5p,669,116,17.33931241
hsa-miR-769-3p,559.5,49,8.757819482
hsa-miR-768-5p Not in mirbase v21.0,NA,NA,NA
hsa-miR-768-3p Not in mirbase v21.0,NA,NA,NA
hsa-miR-767-5p,583,66,11.32075472
hsa-miR-767-3p,893,317.5,35.55431131
hsa-miR-766-5p,436,25.5,5.848623853
hsa-miR-766-3p,469.5,7,1.490947817
hsa-miR-765,451.5,34,7.530454042
hsa-miR-764,528,8,1.515151515
hsa-miR-762,763,345.5,45.28178244
hsa-miR-761,620.5,106,17.08299758
hsa-miR-760,558.5,29,5.192479857
hsa-miR-759,631,231.5,36.68779715
hsa-miR-758-5p,710,278,39.15492958
hsa-miR-758-3p,536.5,32.5,6.05778192
hsa-miR-744-5p,615,9.5,1.544715447
hsa-miR-744-3p,558.5,7,1.253357207
