ID,Total_Cell_Count,MCavg_Norm_Cell_Count,Z_score
UNTR_LIPO,724.5472973,1.385836914,0.911386533
UBC,125.25,0.239564862,-3.039650169
MC4,504.3125,0.964595246,-0.540573573
MC3,416.7291667,0.797075173,-1.117991435
MC2,500.3333333,0.95698432,-0.566807353
MC1,669.9166667,1.281345261,0.55121867
MC_SEM,53.02583644,NA,NA
MC_SD,106.0516729,NA,NA
MC_Average,522.8229167,1,NA
hsa-miR-99b-5p,557.5,1.066326632,-0.189919957
hsa-miR-99b-3p,491,0.939132514,-0.628339989
hsa-miR-99a-5p,548.5,1.049112391,-0.249254999
hsa-miR-99a-3p,553.5,1.058675858,-0.216291086
hsa-miR-98-5p,564.5,1.079715487,-0.14377048
hsa-miR-98-3p,479,0.916180192,-0.707453379
hsa-miR-96-5p,415,0.793767807,-1.129391455
hsa-miR-96-3p,630.5,1.205953259,0.291353162
hsa-miR-95,480,0.918092885,-0.700860596
hsa-miR-944,445.5,0.852104959,-0.928311591
hsa-miR-943,715.5,1.368532207,0.85173967
hsa-miR-942,564.5,1.079715487,-0.14377048
hsa-miR-941,649.5,1.242294435,0.416616028
hsa-miR-940,465,0.889402483,-0.799752333
hsa-miR-939-5p,957,1.83044769,2.44389663
hsa-miR-939-3p,554.5,1.060588552,-0.209698304
hsa-miR-938,569.5,1.089278954,-0.110806567
hsa-miR-937-5p,635,1.214560379,0.321020683
hsa-miR-937-3p,678,1.2968062,0.604510328
hsa-miR-936,816,1.560757905,1.514314305
hsa-miR-935,550,1.051981431,-0.239365825
hsa-miR-934,527,1.00798948,-0.390999821
hsa-miR-933,1012.5,1.93660218,2.809796056
hsa-miR-93-5p,1019.5,1.949991034,2.855945533
hsa-miR-93-3p,514,0.983124465,-0.476705993
hsa-miR-92b-5p,831,1.589448307,1.613206042
hsa-miR-92b-3p,810,1.549281744,1.474757611
hsa-miR-92a-3p,735.5,1.406786077,0.983595319
hsa-miR-92a-2-5p,668,1.277679265,0.538582504
hsa-miR-92a-1-5p,406,0.776553565,-1.188726497
hsa-miR-924,553,1.057719511,-0.219587478
hsa-miR-923 Not in mirbase v21.0,NA,NA,NA
hsa-miR-922,735.5,1.406786077,0.983595319
hsa-miR-921,573.5,1.096929728,-0.084435438
hsa-miR-920,665,1.271941185,0.518804156
hsa-miR-9-5p,521.5,0.997469666,-0.427260125
hsa-miR-9-3p,435,0.832021677,-0.997535806
hsa-miR-892c-5p,470.5,0.899922297,-0.763492029
hsa-miR-892c-3p,472,0.902791337,-0.753602856
hsa-miR-892b,423,0.809069355,-1.076649196
hsa-miR-892a,575,1.099798769,-0.074546264
hsa-miR-891b,448.5,0.85784304,-0.908533243
hsa-miR-891a,677.5,1.295849854,0.601213937
hsa-miR-890,431.5,0.82532725,-1.020610545
hsa-miR-889,683.5,1.307326015,0.640770631
hsa-miR-888-5p,593,1.134227252,0.04412382
hsa-miR-888-3p,554,1.059632205,-0.212994695
hsa-miR-887-3p,567,1.084497221,-0.127288523
hsa-miR-886-5p Not in mirbase v21.0,NA,NA,NA
hsa-miR-886-3p Not in mirbase v21.0,NA,NA,NA
hsa-miR-885-5p,638,1.22029846,0.34079903
hsa-miR-885-3p,400.5,0.766033751,-1.224986801
hsa-miR-877-5p,735,1.40582973,0.980298927
hsa-miR-877-3p,543.5,1.039548923,-0.282218911
hsa-miR-876-5p,619.5,1.18491363,0.218832555
hsa-miR-876-3p,325,0.621625391,-1.722741875
hsa-miR-875-5p,526.5,1.007033133,-0.394296212
hsa-miR-875-3p,701,1.340798151,0.756144324
hsa-miR-874,695.5,1.330278337,0.719884021
hsa-miR-873-5p,831,1.589448307,1.613206042
hsa-miR-873-3p,901.5,1.7242932,2.077997205
hsa-miR-802,490,0.93721982,-0.634932772
hsa-miR-801 Not in mirbase v21.0,NA,NA,NA
hsa-miR-770-5p,720.5,1.378095675,0.884703582
hsa-miR-769-5p,669,1.279591959,0.545175286
hsa-miR-769-3p,559.5,1.070152019,-0.176734392
hsa-miR-768-5p Not in mirbase v21.0,NA,NA,NA
hsa-miR-768-3p Not in mirbase v21.0,NA,NA,NA
hsa-miR-767-5p,583,1.115100317,-0.021804004
hsa-miR-767-3p,893,1.708035305,2.021958554
hsa-miR-766-5p,436,0.833934371,-0.990943024
hsa-miR-766-3p,469.5,0.898009603,-0.770084812
hsa-miR-765,451.5,0.86358112,-0.888754896
hsa-miR-764,528,1.009902174,-0.384407039
hsa-miR-762,763,1.459385149,1.164896836
hsa-miR-761,620.5,1.186826323,0.225425337
hsa-miR-760,558.5,1.068239326,-0.183327174
hsa-miR-759,631,1.206909605,0.294649553
hsa-miR-758-5p,710,1.358012393,0.815479366
hsa-miR-758-3p,536.5,1.026160069,-0.328368388
hsa-miR-744-5p,615,1.176306509,0.189165034
hsa-miR-744-3p,558.5,1.068239326,-0.183327174
hsa-miR-720 Not in mirbase v21.0,NA,NA,NA
hsa-miR-718,868,1.660217967,1.857138993
hsa-miR-711,856.5,1.638221992,1.781321995
hsa-miR-708-5p,652,1.247076169,0.433097984
hsa-miR-708-3p,535.5,1.024247375,-0.33496117
hsa-miR-7-5p,604,1.15526688,0.116644427
hsa-miR-7-2-3p,630.5,1.205953259,0.291353162
hsa-miR-7-1-3p,590.5,1.129445518,0.027641864
hsa-miR-676-5p,716,1.369488554,0.855036061
hsa-miR-676-3p,587,1.122751091,0.004567125
hsa-miR-675-5p,621,1.18778267,0.228721729
hsa-miR-675-3p,602.5,1.15239784,0.106755253
hsa-miR-6724-5p,574.5,1.098842422,-0.077842655
hsa-miR-6723-5p,387.5,0.741168735,-1.310692972
hsa-miR-6722-5p,355.5,0.679962543,-1.521662011
hsa-miR-6722-3p,327.5,0.626407125,-1.706259919
hsa-miR-6721-5p,350,0.669442729,-1.557922314
hsa-miR-6720-3p,316,0.604411149,-1.782076917
hsa-miR-6719-3p,374.5,0.71630372,-1.396399144
hsa-miR-6718-5p,405.5,0.775597219,-1.192022888
hsa-miR-6717-5p,494.5,0.945826941,-0.605265251
hsa-miR-6716-5p,603.5,1.154310534,0.113348036
hsa-miR-6716-3p,676.5,1.29393716,0.594621154
hsa-miR-6715b-5p,377.5,0.7220418,-1.376620797
hsa-miR-6715b-3p,432,0.826283597,-1.017314154
hsa-miR-6715a-3p,455,0.870275547,-0.865680157
hsa-miR-671-5p,509,0.973560997,-0.509669905
hsa-miR-671-3p,467.5,0.894184216,-0.783270377
hsa-miR-670,700,1.338885458,0.749551542
hsa-miR-668-3p,638,1.22029846,0.34079903
hsa-miR-665,521,0.996513319,-0.430556516
hsa-miR-664b-5p,601.5,1.150485147,0.100162471
hsa-miR-664b-3p,590.5,1.129445518,0.027641864
hsa-miR-664a-5p,492,0.941045207,-0.621747207
hsa-miR-664a-3p,876.5,1.676475862,1.913177643
hsa-miR-663b,702,1.342710845,0.762737107
hsa-miR-663a,861.5,1.64778546,1.814285907
hsa-miR-662,694,1.327409296,0.709994847
hsa-miR-661,415.5,0.794724154,-1.126095064
hsa-miR-660-5p,428,0.818632823,-1.043685283
hsa-miR-660-3p,619,1.183957283,0.215536164
hsa-miR-659-5p,753,1.440258214,1.098969011
hsa-miR-659-3p,522,0.998426013,-0.423963733
hsa-miR-658,598,1.143790719,0.077087732
hsa-miR-657,711,1.359925086,0.822072149
hsa-miR-656-3p,575,1.099798769,-0.074546264
hsa-miR-655-3p,546.5,1.045287004,-0.262440564
hsa-miR-654-5p,564,1.07875914,-0.147066871
hsa-miR-654-3p,514,0.983124465,-0.476705993
hsa-miR-653-5p,655.5,1.253770596,0.456172723
hsa-miR-652-5p,474,0.906616724,-0.740417291
hsa-miR-652-3p,752.5,1.439301867,1.09567262
hsa-miR-6515-5p,506,0.967822916,-0.529448253
hsa-miR-6515-3p,717.5,1.372357594,0.864925235
hsa-miR-6514-5p,571.5,1.093104341,-0.097621002
hsa-miR-6514-3p,299,0.57189536,-1.894154219
hsa-miR-6513-5p,589.5,1.127532825,0.021049082
hsa-miR-6513-3p,779.5,1.490944592,1.273677746
hsa-miR-6512-5p,468,0.895140563,-0.779973986
hsa-miR-6512-3p,444,0.849235919,-0.938200764
hsa-miR-6511b-5p,488,0.933394433,-0.648118337
hsa-miR-6511b-3p,574.5,1.098842422,-0.077842655
hsa-miR-6511a-5p,545.5,1.04337431,-0.269033346
hsa-miR-6511a-3p,476.5,0.911398458,-0.723935335
hsa-miR-6510-5p,349,0.667530035,-1.564515097
hsa-miR-6510-3p,611.5,1.169612082,0.166090295
hsa-miR-651-5p,588.5,1.125620131,0.014456299
hsa-miR-6509-5p,468.5,0.89609691,-0.776677594
hsa-miR-6509-3p,578.5,1.106493196,-0.051471525
hsa-miR-6508-5p,684.5,1.309238708,0.647363414
hsa-miR-6508-3p,545,1.042417963,-0.272329737
hsa-miR-6507-5p,430,0.82245821,-1.030499718
hsa-miR-6507-3p,537,1.027116415,-0.325071997
hsa-miR-6506-5p,411.5,0.78707338,-1.152466194
hsa-miR-6506-3p,384,0.734474308,-1.333767711
hsa-miR-6505-5p,477.5,0.913311151,-0.717342552
hsa-miR-6505-3p,366.5,0.701002172,-1.449141404
hsa-miR-6504-5p,473.5,0.905660377,-0.743713682
hsa-miR-6504-3p,391.5,0.748819509,-1.284321843
hsa-miR-6503-5p,523,1.000338706,-0.417370951
hsa-miR-6503-3p,492,0.941045207,-0.621747207
hsa-miR-6502-5p,491.5,0.940088861,-0.625043598
hsa-miR-6502-3p,579.5,1.108405889,-0.044878743
hsa-miR-6501-5p,462,0.883664402,-0.81953068
hsa-miR-6501-3p,411.5,0.78707338,-1.152466194
hsa-miR-6500-5p,538.5,1.029985456,-0.315182823
hsa-miR-6500-3p,436.5,0.834890717,-0.987646633
hsa-miR-650,470.5,0.899922297,-0.763492029
hsa-miR-6499-5p,492.5,0.942001554,-0.618450816
hsa-miR-6499-3p,470.5,0.899922297,-0.763492029
hsa-miR-649,795.5,1.521547688,1.379162265
hsa-miR-648,430.5,0.823414556,-1.027203327
hsa-miR-647,516.5,0.987906198,-0.460224037
hsa-miR-646,410.5,0.785160686,-1.159058976
hsa-miR-645,458.5,0.876969975,-0.842605419
hsa-miR-644a,414,0.791855113,-1.135984238
hsa-miR-643,898,1.717598773,2.054922466
hsa-miR-642b-5p,595,1.138052639,0.057309385
hsa-miR-642b-3p,1310,2.505628499,4.771148834
hsa-miR-642a-5p,729,1.394353569,0.940742233
hsa-miR-642a-3p,1371,2.622302803,5.173308563
hsa-miR-641,766.5,1.466079576,1.187971574
hsa-miR-640,475,0.908529418,-0.733824508
hsa-miR-639,861.5,1.64778546,1.814285907
hsa-miR-638,791,1.512940567,1.349494744
hsa-miR-637,419.5,0.802374928,-1.099723934
hsa-miR-636,880.5,1.684126636,1.939548773
hsa-miR-635,589.5,1.127532825,0.021049082
hsa-miR-634,262.5,0.502082047,-2.134790778
hsa-miR-633,624.5,1.194477097,0.251796467
hsa-miR-632,575,1.099798769,-0.074546264
hsa-miR-631,479.5,0.917136538,-0.704156987
hsa-miR-630,459.5,0.878882668,-0.836012636
hsa-miR-629-5p,517.5,0.989818892,-0.453631254
hsa-miR-629-3p,548,1.048156044,-0.25255139
hsa-miR-628-5p,473.5,0.905660377,-0.743713682
hsa-miR-628-3p,519,0.992687932,-0.443742081
hsa-miR-627,551.5,1.054850471,-0.229476651
hsa-miR-626,672.5,1.286286386,0.568250025
hsa-miR-625-5p,427.5,0.817676476,-1.046981675
hsa-miR-625-3p,552,1.055806818,-0.22618026
hsa-miR-624-5p,477.5,0.913311151,-0.717342552
hsa-miR-624-3p,407.5,0.779422606,-1.178837323
hsa-miR-623,606.5,1.160048614,0.133126383
hsa-miR-622,631,1.206909605,0.294649553
hsa-miR-621,527.5,1.008945827,-0.38770343
hsa-miR-620,522.5,0.999382359,-0.420667342
hsa-miR-619,559.5,1.070152019,-0.176734392
hsa-miR-618,429,0.820545516,-1.037092501
hsa-miR-617,494.5,0.945826941,-0.605265251
hsa-miR-6165,787,1.505289793,1.323123615
hsa-miR-616-5p,657,1.256639637,0.466061897
hsa-miR-616-3p,541.5,1.035723536,-0.295404476
hsa-miR-615-5p,720.5,1.378095675,0.884703582
hsa-miR-615-3p,693,1.325496603,0.703402065
hsa-miR-614,436,0.833934371,-0.990943024
hsa-miR-6134,514,0.983124465,-0.476705993
hsa-miR-6133,465.5,0.890358829,-0.796455942
hsa-miR-6132,319,0.61014923,-1.76229857
hsa-miR-6131,456,0.872188241,-0.859087375
hsa-miR-6130,326.5,0.624494431,-1.712852702
hsa-miR-613,424,0.810982049,-1.070056413
hsa-miR-6129,377.5,0.7220418,-1.376620797
hsa-miR-6128,522.5,0.999382359,-0.420667342
hsa-miR-6127,520.5,0.995556972,-0.433852907
hsa-miR-6126,420.5,0.804287621,-1.093131152
hsa-miR-6125,696.5,1.33219103,0.726476803
hsa-miR-6124,858.5,1.642047379,1.794507559
hsa-miR-612,507.5,0.970691957,-0.519559079
hsa-miR-611,683.5,1.307326015,0.640770631
hsa-miR-610,567.5,1.085453567,-0.123992132
hsa-miR-6090,530,1.013727561,-0.371221474
hsa-miR-609,547.5,1.047199697,-0.255847781
hsa-miR-6089,537.5,1.028072762,-0.321775606
hsa-miR-6088,583,1.115100317,-0.021804004
hsa-miR-6087,524,1.0022514,-0.410778169
hsa-miR-6086,570,1.090235301,-0.107510176
hsa-miR-6085,430,0.82245821,-1.030499718
hsa-miR-6084,447.5,0.855930346,-0.915126026
hsa-miR-6083,402.5,0.769859138,-1.211801236
hsa-miR-6082,624,1.193520751,0.248500076
hsa-miR-6081,341,0.652228487,-1.617257356
hsa-miR-6080,735.5,1.406786077,0.983595319
hsa-miR-608,448.5,0.85784304,-0.908533243
hsa-miR-6079,402.5,0.769859138,-1.211801236
hsa-miR-6078,615.5,1.177262856,0.192461425
hsa-miR-6077,474.5,0.907573071,-0.7371209
hsa-miR-6076,487,0.93148174,-0.654711119
hsa-miR-6075,603,1.153354187,0.110051645
hsa-miR-6074,427,0.816720129,-1.050278066
hsa-miR-6073,619,1.183957283,0.215536164
hsa-miR-6072,567.5,1.085453567,-0.123992132
hsa-miR-6071,501.5,0.959215796,-0.559115774
hsa-miR-6070,465,0.889402483,-0.799752333
hsa-miR-607,712,1.36183778,0.828664931
hsa-miR-6069,441,0.843497838,-0.957979112
