"","condition_mir1827_vs_mirctrl","condition_mir323_vs_mirctrl","condition_mir449b_vs_mirctrl","condition_mir4774_vs_mirctrl","condition_mir491_vs_mirctrl","condition_mir5681b_vs_mirctrl","condition_mir892b_vs_mirctrl","Database"
"activation of apc/c and apc/c:cdc20 mediated degradation of mitotic proteins r-hsa-176814",-2.40207078956929,NA,-2.44931132055304,NA,-2.35626091902072,-2.17108502915954,-2.5613838715036,"Reactome"
"activation of atr in response to replication stress r-hsa-176187",-2.12290437879782,NA,-2.50805713669765,NA,-2.31247068828332,-2.1201390735877,-2.28936310027848,"Reactome"
"anaphase-promoting complex-dependent catabolic process (go:0031145)",-2.3641920540417,NA,-2.39955518184247,NA,-2.42722811536237,-2.17397436919055,-2.53114235683881,"Gene Ontology BP"
"apc/c-mediated degradation of cell cycle proteins r-hsa-174143",-2.54983250093858,NA,-2.52408618043023,-2.42926332436933,-2.533492786341,-2.38174528802497,-2.62273135563274,"Reactome"
"apc/c:cdc20 mediated degradation of mitotic proteins r-hsa-176409",-2.28603269568707,NA,-2.32562820483853,NA,-2.28467676267542,NA,-2.45476089043989,"Reactome"
"aurka activation by tpx2 r-hsa-8854518",-2.10092443809087,NA,-2.24516843624348,NA,NA,NA,NA,"Reactome"
"cell cycle",-2.64322473465062,-2.50603478075013,-2.80255900843445,-2.24208692808468,-2.70039803219401,-2.41868259489792,-2.71415446636797,"KEGG"
"cell cycle checkpoints r-hsa-69620",-3.1911591782385,-3.12283910079666,-3.2713521804624,-2.53759299726254,-2.97824719750196,-2.63226852818814,-3.05549769895784,"Reactome"
"cell cycle g2/m phase transition (go:0044839)",-2.19269469626423,NA,-2.42109057021129,-2.09482364116269,-2.13025977949381,-2.10094484270046,-2.17658403586199,"Gene Ontology BP"
"cell cycle r-hsa-1640170",-3.3218464109639,-3.15914961910036,-3.34679446056282,-2.5020195149873,-2.85713851312045,-2.74983847780489,-3.05564476199964,"Reactome"
"cell cycle, mitotic r-hsa-69278",-3.34770233881366,-3.12125640295188,-3.3703412715841,-2.50865908996345,-2.84954314200584,-2.78411930685805,-3.00932314226247,"Reactome"
"cellular macromolecule biosynthetic process (go:0034645)",-2.36922877159372,-2.49385366309494,-2.43302097399828,-1.9391284371785,-2.49095439942052,-2.15711003147573,-2.32633584471382,"Gene Ontology BP"
"cellular response to dna damage stimulus (go:0006974)",-1.90249691006669,-2.11377509602829,-2.20963485926477,NA,-2.17920157404069,NA,-2.14844252730859,"Gene Ontology BP"
"cellular response to type i interferon (go:0071357)",3.44148820001123,NA,NA,NA,NA,3.30514135718795,NA,"Gene Ontology BP"
"cenp-a containing chromatin organization (go:0061641)",-2.61161619256033,NA,NA,NA,-2.2936116769819,NA,-2.27014436689685,"Gene Ontology BP"
