"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"apc/c-mediated degradation of cell cycle proteins r-hsa-174143",-2.74511128520566,NA,-2.66873940356995,-2.5359832514261,-2.69364989742944,-2.53623933955345,-2.7145531588912
"apc:cdc20 mediated degradation of cell cycle proteins before cycle checkpoint satisfied r-hsa-179419",-2.30889302379797,NA,-2.3098897253739,NA,NA,-2.08322292147858,NA
"cell cycle",-2.53797071043321,-2.26972521449976,-2.5726911432336,-2.17267930835411,-2.69508011056524,-2.37746109526612,-2.56404461980093
"cell cycle checkpoints r-hsa-69620",-3.00711425126921,-2.93579345489818,-2.97997914742536,-2.48475594609437,-2.91391285804739,-2.59636474161856,-2.92071450478745
"cell cycle g2/m phase transition (go:0044839)",-2.30170295600723,-1.91344030386435,-2.34835360260814,-2.18984023379466,-2.27052285158177,-2.20809289567173,-2.20043386243261
"cell cycle r-hsa-1640170",-3.21205038420753,-3.10714612765414,-3.09027145408572,-2.52194443054119,-2.92937904719525,-2.71453585158706,-2.87600428733416
"cell cycle, mitotic r-hsa-69278",-3.25433869183857,-3.1373715358548,-3.14307317203013,-2.57123941155894,-2.96074876419657,-2.81316827580945,-2.91293673262828
"dna damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (go:0006977)",-1.8743081803109,NA,-2.02622030352916,NA,NA,NA,NA
"g2/m transition of mitotic cell cycle (go:0000086)",-2.30170295600723,-1.91817256996824,-2.34355574395743,-2.18984023379466,-2.27367369254404,-2.20809289567173,-2.19630567031026
"mitotic cell cycle phase transition (go:0044772)",-2.34704224589666,-1.94080059558491,-2.38363849103965,-2.15553628815299,-2.31109717691189,-2.29773877348663,-2.26393093098014
"negative regulation of cell cycle process (go:0010948)",-2.3581024524009,NA,NA,NA,NA,NA,-2.15465112395737
"positive regulation of cell cycle process (go:0090068)",-2.87922376521029,-2.48960852473128,-2.71385357698793,-2.20781313610498,-2.50894628946146,-2.31799668292691,-2.58588699624774
"positive regulation of cell population proliferation (go:0008284)",-1.75660243579401,NA,-1.99333808616384,NA,NA,-1.6415828224359,-1.86678714477094
"regulation of cell cycle (go:0051726)",-2.17572334204182,-2.22523313566406,-2.30989703579459,-2.24062139514883,-2.27840635025143,-2.10804811682691,-2.37253155434482
"regulation of cell cycle g2/m phase transition (go:1902749)",-2.55928197941007,-2.16544032645208,-2.55862396841718,NA,-2.30250109920101,-2.45346079739199,-2.41766946855708
"regulation of cell cycle phase transition (go:1901987)",-2.47232763138705,NA,-2.22065630672723,-2.18332262647047,-2.35572066157767,-2.20796046134015,-2.49694895025281
"regulation of cell cycle process (go:0010564)",-2.81952734317343,-2.41607000052047,-2.58989212818074,-2.24497062439107,-2.6638269886984,-2.40062322072872,-2.62685347665912
"regulation of g2/m transition of mitotic cell cycle (go:0010389)",-2.35180903406476,-2.1930432143096,-2.47644596258388,-2.32418521875659,-2.36495609965519,-2.18047486747163,-2.52471210288509
"regulation of mitotic cell cycle (go:0007346)",-2.39762302708017,-1.9980221980834,-2.34384529804233,-2.38386097568749,-2.30545232661958,-2.17265534479709,-2.52234575384197
"regulation of mitotic cell cycle phase transition (go:1901990)",-2.69601601265746,-2.46316221758397,-2.50287479786542,-2.58359202383756,-2.56968664316127,-2.40607498354691,-2.577683137371
"tp53 regulates transcription of cell cycle genes r-hsa-6791312",-1.85823984509459,NA,NA,NA,NA,NA,NA
