"","condition_mir1827_vs_mirctrl","condition_mir323_vs_mirctrl","condition_mir449b_vs_mirctrl","condition_mir4774_vs_mirctrl","condition_mir491_vs_mirctrl","condition_mir5681b_vs_mirctrl","condition_mir892b_vs_mirctrl","Database"
"cell cycle checkpoints r-hsa-69620",-2.12236173589842,NA,NA,NA,NA,NA,NA,"Reactome"
"cell cycle r-hsa-1640170",-1.92602670721305,NA,-2.13979824794847,NA,NA,NA,NA,"Reactome"
"cell cycle, mitotic r-hsa-69278",-1.9402227205914,NA,-2.15737798843156,NA,NA,NA,NA,"Reactome"
"m phase r-hsa-68886",-1.92499075541966,NA,NA,NA,NA,NA,NA,"Reactome"
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-2.33657570077587,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"mitotic anaphase r-hsa-68882",-1.96173499486693,NA,NA,NA,NA,NA,NA,"Reactome"
"mitotic metaphase and anaphase r-hsa-2555396",-1.96173499486693,NA,NA,NA,NA,NA,NA,"Reactome"
"mitotic prometaphase r-hsa-68877",-2.29124594670902,NA,NA,NA,NA,NA,NA,"Reactome"
"mitotic spindle organization (go:0007052)",-2.33407944567626,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"rho gtpase effectors r-hsa-195258",-1.85684927981602,NA,NA,NA,NA,NA,NA,"Reactome"
"rho gtpases activate formins r-hsa-5663220",-2.25437518928383,NA,NA,NA,NA,NA,NA,"Reactome"
"separation of sister chromatids r-hsa-2467813",-2.18120940587703,NA,NA,NA,NA,NA,NA,"Reactome"
