dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	1.077910774900425	1.1168530077524685	1.7242136051993446	-4.139517738952707	1.3862943611198906	7.25240854698593e-05	ventricular trabecula myocardium morphogenesis	1. ventricular trabecula myocardium morphogenesis	['GO:0003222', 'GO:0061384', 'GO:0061383']	GO:0003222	0
2	-0.5924159518618507	-1.6002320768515956	1.5821240898727114	-3.61701301480663	1.0986122886681098	0.000241538844972454	cellular response to insulin stimulus	2. cellular response to insulin stimulus	['GO:0032869', 'GO:0032868']	GO:0032869	0
3	-0.5536805946869136	-1.261909756481005	1.4568371109867222	-3.3938525989585386	1.3862943611198906	0.00040378241485436	response to topologically incorrect protein	3. response to topologically incorrect protein	['GO:0035966', 'GO:0006986', 'GO:0035967']	GO:0035966	0
4	1.280590343452954	0.6152303907713516	1.5206961201514937	-3.0662271469601183	1.3862943611198906	0.000858564353256222	muscle tissue development	4. muscle tissue development	['GO:0060537', 'GO:0007519', 'GO:0003229']	GO:0060537	0
5	0.8450595993509005	-0.9770721886776483	1.6732069425194303	-3.050010055928947	1.3862943611198906	0.000891230301785088	female pregnancy	5. female pregnancy	['GO:0007565', 'GO:0044703', 'GO:0044706']	GO:0007565	0
6	-1.2104725904846083	0.5467958583278757	1.3056210835359279	-3.0336909857630214	0.6931471805599453	0.000925356360019191	intracellular receptor signaling pathway	6. intracellular receptor signaling pathway	['GO:0030522']	GO:0030522	0
7	1.1925649525429571	0.7563023185368459	1.4288574581368876	-3.028411853072646	1.0986122886681098	0.000936673313251666	muscle organ development	7. muscle organ development	['GO:0007517', 'GO:0060538']	GO:0007517	0
8	-1.1668316701765435	0.37808002956220005	1.8638474373757203	-2.7240733822186813	0.6931471805599453	0.00188767236440828	vitamin D receptor signaling pathway	8. vitamin D receptor signaling pathway	['GO:0070561']	GO:0070561	0
9	-0.2154248410153599	-1.5111549747605968	1.655799970328033	-2.6935875614124707	1.0986122886681098	0.00202494130185397	cellular response to epidermal growth factor stimulus	9. cellular response to epidermal growth factor stimulus	['GO:0071364', 'GO:0070849']	GO:0071364	0
10	-0.5838956415173618	-1.6210925444658286	1.5248430743654202	-2.626571444588496	1.0986122886681098	0.00236280866803722	cellular response to peptide hormone stimulus	10. cellular response to peptide hormone stimulus	['GO:0071375', 'GO:0043434']	GO:0071375	0
11	-0.6302400744911278	1.1381780143748845	1.4559610626770771	-2.5815945247255385	0.6931471805599453	0.00262062859353757	negative regulation of apoptotic signaling pathway	11. negative regulation of apoptotic signaling pathway	['GO:2001234']	GO:2001234	0
12	1.122655017927464	1.1134308869932785	1.6200196076201856	-2.5797847545757744	1.0986122886681098	0.00263157193080133	ventricular cardiac muscle tissue morphogenesis	12. ventricular cardiac muscle tissue morphogenesis	['GO:0055010', 'GO:0055008']	GO:0055010	0
13	1.3061053504319318	0.4125091374829191	1.7170375909310174	-2.57573837605427	0.6931471805599453	0.00265620520839594	atrioventricular canal development	13. atrioventricular canal development	['GO:0036302']	GO:0036302	0
14	-0.14496598184594883	-0.9718725730745043	1.7753075988931275	-2.57573837605427	0.6931471805599453	0.00265620520839594	cellular response to X-ray	14. cellular response to X-ray	['GO:0071481']	GO:0071481	0
15	-0.12617189770452494	0.5980336303737127	1.7482673118729932	-2.57573837605427	0.6931471805599453	0.00265620520839594	regulation of RNA binding	15. regulation of RNA binding	['GO:1905214']	GO:1905214	0
16	0.17884365169780833	-0.46906358660521574	1.5950342866217788	-2.5268713855845037	0.6931471805599453	0.00297254620798832	mRNA transcription	16. mRNA transcription	['GO:0009299']	GO:0009299	0
17	0.8059652954879797	-0.46791994767377104	1.3126272303711344	-2.499206192323559	0.6931471805599453	0.00316806298764904	protein polyubiquitination	17. protein polyubiquitination	['GO:0000209']	GO:0000209	0
18	0.43676087885194165	-0.4542154190217058	0.7568432621659338	-2.481418730542928	0.6931471805599453	0.00330051164554136	nucleic acid phosphodiester bond hydrolysis	18. nucleic acid phosphodiester bond hydrolysis	['GO:0090305']	GO:0090305	0
19	0.9989414888770213	0.5785258366982854	1.702551100605696	-2.4500374748185876	0.6931471805599453	0.003547827740766	epithelial cell fate commitment	19. epithelial cell fate commitment	['GO:0072148']	GO:0072148	0
20	-0.5920496753532336	0.8581108985218221	1.5528833515381109	-2.407051923335171	1.3862943611198906	0.00391695044072262	positive regulation of plasma membrane bounded cell projection assembly	20. positive regulation of plasma membrane bounded cell projection assembly	['GO:0120034', 'GO:0120032', 'GO:0060491']	GO:0120034	0
21	-0.44576597031844073	1.147265752721374	1.752463602620737	-2.393741256428328	0.6931471805599453	0.00403885948104675	positive regulation of smooth muscle cell apoptotic process	21. positive regulation of smooth muscle cell apoptotic process	['GO:0034393']	GO:0034393	0
22	-0.850530196646011	0.8892502751565354	1.7150269235697808	-2.393741256428328	0.6931471805599453	0.00403885948104675	positive regulation of keratinocyte differentiation	22. positive regulation of keratinocyte differentiation	['GO:0045618']	GO:0045618	0
23	-1.2846795277420595	0.07584209521563025	1.7327593247388418	-2.393741256428328	0.6931471805599453	0.00403885948104675	regulation of corticosteroid hormone secretion	23. regulation of corticosteroid hormone secretion	['GO:2000846']	GO:2000846	0
24	1.1994797259832632	0.2753584810775219	1.7486915444605902	-2.341078542291137	0.6931471805599453	0.00455954448991561	epithelial to mesenchymal transition involved in endocardial cushion formation	24. epithelial to mesenchymal transition involved in endocardial cushion formation	['GO:0003198']	GO:0003198	0
25	0.5190528818473269	-0.7629932151307193	1.1671152191775092	-2.3216008757611024	1.3862943611198906	0.00476869036487501	proteasome-mediated ubiquitin-dependent protein catabolic process	25. proteasome-mediated ubiquitin-dependent protein catabolic process	['GO:0043161', 'GO:0036503', 'GO:0034976']	GO:0043161	0
26	-0.3341999711233831	0.5046994482029863	1.689453454720532	-2.2916201868189354	0.6931471805599453	0.00510951658514968	regulation of phospholipid biosynthetic process	26. regulation of phospholipid biosynthetic process	['GO:0071071']	GO:0071071	0
27	-0.6992072798926522	0.050966653049809206	1.4395846281816287	-2.2694642452038187	0.6931471805599453	0.00537694698876943	regulation of circadian rhythm	27. regulation of circadian rhythm	['GO:0042752']	GO:0042752	0
28	-0.8854422682351007	0.43039109878249765	1.1648209423998717	-2.260904717246452	0.6931471805599453	0.0054839726824569	hormone-mediated signaling pathway	28. hormone-mediated signaling pathway	['GO:0009755']	GO:0009755	0
29	0.9898856186554146	-0.8358991317624782	1.7047872812540577	-2.2530579049804906	0.6931471805599453	0.00558395738230177	maternal process involved in female pregnancy	29. maternal process involved in female pregnancy	['GO:0060135']	GO:0060135	0
