Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0031032	GO:0031032	actomyosin structure organization	2.812e-05	0.000e+00	4.364e+00	4.329e-05
GO:0031032	GO:0043149	stress fiber assembly	3.754e-04	0.000e+00	5.484e+00	3.278e-06
GO:1903902	GO:1903902	positive regulation of viral life cycle	3.733e-05	0.000e+00	5.407e+00	3.913e-06
GO:0042060	GO:0042060	wound healing	3.817e-05	0.000e+00	4.928e+00	1.181e-05
GO:0048010	GO:0048010	vascular endothelial growth factor receptor signaling pathway	3.839e-05	0.000e+00	4.786e+00	1.635e-05
GO:0007265	GO:0007265	Ras protein signal transduction	6.205e-05	0.000e+00	3.844e+00	1.432e-04
GO:0007265	GO:0007264	small GTPase mediated signal transduction	5.991e-04	0.000e+00	3.179e+00	6.626e-04
GO:0030168	GO:0030168	platelet activation	6.778e-05	0.000e+00	4.564e+00	2.728e-05
GO:0010631	GO:0001667	ameboidal-type cell migration	5.278e-05	0.000e+00	4.212e+00	6.135e-05
GO:0010631	GO:0010631	epithelial cell migration	9.404e-05	0.000e+00	4.573e+00	2.674e-05
GO:0090132	GO:0090132	epithelium migration	1.040e-04	0.000e+00	6.576e+00	2.654e-07
GO:0090132	GO:0090130	tissue migration	1.227e-04	0.000e+00	5.691e+00	2.035e-06
GO:0043550	GO:0043550	regulation of lipid kinase activity	1.098e-04	0.000e+00	4.841e+00	1.442e-05
GO:0043550	GO:0043551	regulation of phosphatidylinositol 3-kinase activity	2.696e-04	0.000e+00	4.918e+00	1.207e-05
GO:0044403	GO:0044403	biological process involved in symbiotic interaction	1.547e-04	0.000e+00	1.786e+00	1.638e-02
GO:0044403	GO:0044000	movement in host	8.171e-04	0.000e+00	2.268e+00	5.392e-03
GO:0030100	GO:0030100	regulation of endocytosis	1.691e-04	0.000e+00	4.115e+00	7.677e-05
GO:0030100	GO:2000641	regulation of early endosome to late endosome transport	1.413e-04	0.000e+00	4.749e+00	1.781e-05
GO:0030100	GO:1903649	regulation of cytoplasmic transport	6.774e-04	0.000e+00	4.707e+00	1.965e-05
GO:0046578	GO:0046578	regulation of Ras protein signal transduction	3.048e-04	0.000e+00	3.706e+00	1.966e-04
GO:0030038	GO:0030038	contractile actin filament bundle assembly	3.754e-04	0.000e+00	5.452e+00	3.534e-06
GO:0030038	GO:0051017	actin filament bundle assembly	1.140e-03	0.000e+00	4.382e+00	4.148e-05
GO:0014066	GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	4.254e-04	0.000e+00	4.681e+00	2.087e-05
GO:0046129	GO:0042451	purine nucleoside biosynthetic process	4.779e-04	0.000e+00	3.232e+00	5.867e-04
GO:0046129	GO:0046129	purine ribonucleoside biosynthetic process	4.779e-04	0.000e+00	3.232e+00	5.867e-04
GO:0046129	GO:0042455	ribonucleoside biosynthetic process	4.779e-04	0.000e+00	2.603e+00	2.495e-03
GO:0045765	GO:0045765	regulation of angiogenesis	5.254e-04	0.000e+00	4.087e+00	8.193e-05
GO:0045765	GO:1901342	regulation of vasculature development	6.289e-04	0.000e+00	4.080e+00	8.327e-05
GO:0014065	GO:0014065	phosphatidylinositol 3-kinase signaling	5.858e-04	0.000e+00	4.742e+00	1.811e-05
GO:0014065	GO:0048017	inositol lipid-mediated signaling	7.830e-04	0.000e+00	3.778e+00	1.667e-04
GO:0051954	GO:0051954	positive regulation of amine transport	5.874e-04	0.000e+00	5.402e+00	3.963e-06
GO:0016266	GO:0016266	O-glycan processing	6.559e-04	0.000e+00	5.543e+00	2.865e-06
GO:0090148	GO:0090148	membrane fission	6.559e-04	0.000e+00	5.155e+00	7.000e-06
GO:0017156	GO:0017156	calcium-ion regulated exocytosis	6.703e-04	0.000e+00	4.500e+00	3.160e-05
GO:0048488	GO:0048488	synaptic vesicle endocytosis	6.703e-04	0.000e+00	5.175e+00	6.677e-06
GO:0048488	GO:0140238	presynaptic endocytosis	6.703e-04	0.000e+00	5.161e+00	6.896e-06
GO:0009101	GO:0009101	glycoprotein biosynthetic process	6.806e-04	0.000e+00	4.040e+00	9.127e-05
GO:0051897	GO:0051897	positive regulation of protein kinase B signaling	7.220e-04	0.000e+00	4.786e+00	1.636e-05
GO:0032970	GO:0032970	regulation of actin filament-based process	7.965e-04	0.000e+00	3.374e+00	4.224e-04
GO:0070301	GO:0034599	cellular response to oxidative stress	8.226e-04	0.000e+00	3.706e+00	1.970e-04
GO:0070301	GO:0070301	cellular response to hydrogen peroxide	8.342e-04	0.000e+00	5.094e+00	8.048e-06
GO:0070301	GO:0042542	response to hydrogen peroxide	1.227e-03	0.000e+00	4.611e+00	2.449e-05
GO:1900407	GO:1900407	regulation of cellular response to oxidative stress	8.342e-04	0.000e+00	4.853e+00	1.403e-05
GO:0045766	GO:0045766	positive regulation of angiogenesis	1.006e-03	0.000e+00	4.500e+00	3.164e-05
GO:0045766	GO:1904018	positive regulation of vasculature development	1.006e-03	0.000e+00	4.500e+00	3.164e-05
GO:0070527	GO:0070527	platelet aggregation	1.071e-03	0.000e+00	5.270e+00	5.371e-06
GO:1903829	GO:1903829	positive regulation of protein localization	1.084e-03	0.000e+00	3.523e+00	3.000e-04
GO:0044089	GO:0044089	positive regulation of cellular component biogenesis	1.085e-03	0.000e+00	3.936e+00	1.160e-04
GO:0090287	GO:0090287	regulation of cellular response to growth factor stimulus	1.101e-03	0.000e+00	4.059e+00	8.734e-05
GO:0043094	GO:0043094	cellular metabolic compound salvage	1.208e-03	0.000e+00	2.502e+00	3.150e-03
