dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.8482342273322564	0.7470925260090032	1.5311179790686396	-7.72929321607593	1.0986122886681098	1.86512002060312e-08	tissue remodeling	1. tissue remodeling	['GO:0048771', 'GO:0046849']	GO:0048771	0
2	-1.3031262599305056	0.8411502864896178	1.4008787425788018	-6.889582599032077	1.0986122886681098	1.28948828512189e-07	regulation of cellular response to growth factor stimulus	2. regulation of cellular response to growth factor stimulus	['GO:0090287', 'GO:1903844']	GO:0090287	0
3	0.5571811985045082	0.19658909055923898	1.478245235553944	-6.0557332600734695	0.6931471805599453	8.79562570713502e-07	epithelial cell proliferation	3. epithelial cell proliferation	['GO:0050673']	GO:0050673	0
4	0.9416120761116529	1.173414130446092	1.6066826415550675	-5.346193148498377	0.6931471805599453	4.50616252513599e-06	response to estrogen	4. response to estrogen	['GO:0043627']	GO:0043627	0
5	-1.2457291283204526	-0.10520022068522773	1.5336131436993354	-5.133985761050864	0.6931471805599453	7.34537950611527e-06	regulation of osteoblast differentiation	5. regulation of osteoblast differentiation	['GO:0045667']	GO:0045667	0
6	-0.5168891990942395	0.4229085288745693	1.421862901905125	-4.952766557410705	1.3862943611198906	1.11489365178362e-05	regulation of epithelial cell proliferation	6. regulation of epithelial cell proliferation	['GO:0050678', 'GO:0050679', 'GO:0050680']	GO:0050678	0
7	-0.3456987724609491	0.8406825794379474	1.5367562548162153	-4.952715879398262	0.6931471805599453	1.11502375680079e-05	extrinsic apoptotic signaling pathway	7. extrinsic apoptotic signaling pathway	['GO:0097191']	GO:0097191	0
8	-1.3743514337393037	1.0507916724074273	1.5008132746605054	-4.934187796042016	1.0986122886681098	1.16362275108301e-05	regulation of transforming growth factor beta receptor signaling pathway	8. regulation of transforming growth factor beta receptor signaling pathway	['GO:0017015', 'GO:0030512']	GO:0017015	0
9	0.8126284539764925	1.2507147216555676	1.620150214051803	-4.913148669711186	1.0986122886681098	1.22138147959154e-05	cellular response to transforming growth factor beta stimulus	9. cellular response to transforming growth factor beta stimulus	['GO:0071560', 'GO:0071559']	GO:0071560	0
10	-1.2207350739569423	1.0679671540132896	1.453282613608109	-4.746993419415323	1.0986122886681098	1.79063298613853e-05	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	10. negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	['GO:0090101', 'GO:0090092']	GO:0090101	0
11	-0.38929246611197516	0.9609637237850304	1.3396424380826035	-4.68833975704841	1.0986122886681098	2.04955814214124e-05	transmembrane receptor protein serine/threonine kinase signaling pathway	11. transmembrane receptor protein serine/threonine kinase signaling pathway	['GO:0007178', 'GO:0007179']	GO:0007178	0
12	0.11262810736773413	-1.3381469370832715	1.6167489364859151	-4.34005177806871	0.6931471805599453	4.57033697251072e-05	osteoclast differentiation	12. osteoclast differentiation	['GO:0030316']	GO:0030316	0
13	-0.8673716199933402	0.2306306534985022	1.4241848736405296	-4.339861113052856	1.0986122886681098	4.57234389343292e-05	negative regulation of locomotion	13. negative regulation of locomotion	['GO:0040013', 'GO:0050920']	GO:0040013	0
14	1.1944550438477832	0.49514549874029795	1.6326832407535554	-4.25601208202728	1.3862943611198906	5.54610283542931e-05	cell-substrate junction organization	14. cell-substrate junction organization	['GO:0150115', 'GO:0007044', 'GO:0048041']	GO:0150115	0
15	0.34302460765893733	-1.5719666481274521	1.558668541118208	-4.059750407063875	0.6931471805599453	8.71464284410306e-05	kidney epithelium development	15. kidney epithelium development	['GO:0072073']	GO:0072073	0
16	0.8400211706928677	0.26199531943328913	1.438156757521776	-4.010413064181424	1.0986122886681098	9.7630819743385e-05	cell-matrix adhesion	16. cell-matrix adhesion	['GO:0031589', 'GO:0007160']	GO:0007160	0
17	0.6376667183925292	-0.9611914178541628	1.7769016874793506	-3.9962156876858392	0.6931471805599453	0.000100875177592591	bone trabecula formation	17. bone trabecula formation	['GO:0060346']	GO:0060346	0
18	-1.298434329590914	-0.25573876029266324	1.4076986343737088	-3.913984047155007	1.0986122886681098	0.000121903437662777	regulation of angiogenesis	18. regulation of angiogenesis	['GO:0045765', 'GO:1901342']	GO:0045765	0
19	-0.8903011020759056	1.0269200098442977	1.518723791971083	-3.8787523378789976	0.6931471805599453	0.000132204933522493	regulation of extrinsic apoptotic signaling pathway	19. regulation of extrinsic apoptotic signaling pathway	['GO:2001236']	GO:2001236	0
20	0.8329238403613684	-1.2233224015166848	1.5335995666923248	-3.776223609116967	1.0986122886681098	0.000167408070505682	mesenchymal cell differentiation	20. mesenchymal cell differentiation	['GO:0048762', 'GO:0014033']	GO:0048762	0
21	-1.4449489444517218	-0.11727298283435543	1.6184342229217987	-3.7682075236310606	0.6931471805599453	0.000170526734794198	negative regulation of epithelial cell differentiation	21. negative regulation of epithelial cell differentiation	['GO:0030857']	GO:0030857	0
22	0.4003555904921964	-1.1821727467091385	1.631975948986113	-3.7171478046506135	0.6931471805599453	0.000191801586589759	gland morphogenesis	22. gland morphogenesis	['GO:0022612']	GO:0022612	0
23	0.2464280840422002	-1.603027085362303	1.5206961201514937	-3.70560647776391	0.6931471805599453	0.00019696702358623	muscle tissue development	23. muscle tissue development	['GO:0060537']	GO:0060537	0
24	0.9006401633177138	-0.9683174457246925	1.8150473081583065	-3.6672837051136518	1.0986122886681098	0.000215137587817749	kidney vasculature development	24. kidney vasculature development	['GO:0061437', 'GO:0061440']	GO:0061440	0
25	0.4540976931308957	-1.5385332099142555	1.5859578453514978	-3.6613432050726247	0.6931471805599453	0.00021810056715265	mesenchyme development	25. mesenchyme development	['GO:0060485']	GO:0060485	0
26	0.10324661250955866	-1.081201832021717	1.9132150362706166	-3.6283010883849465	0.6931471805599453	0.000235341713733114	bone trabecula morphogenesis	26. bone trabecula morphogenesis	['GO:0061430']	GO:0061430	0
27	0.3175545098889375	0.05245285786200363	1.463182631488114	-3.620587338614167	0.6931471805599453	0.000239559093696417	cell growth	27. cell growth	['GO:0016049']	GO:0016049	0
28	-1.067548346295163	-0.20016570646250945	1.5111185747793745	-3.610495427785937	0.6931471805599453	0.000245191026716902	regulation of animal organ morphogenesis	28. regulation of animal organ morphogenesis	['GO:2000027']	GO:2000027	0
29	1.0557895005013935	0.051826657860777135	1.4379759871540843	-3.574813824937146	0.6931471805599453	0.000266186591437477	ameboidal-type cell migration	29. ameboidal-type cell migration	['GO:0001667']	GO:0001667	0
30	-0.5848945409329641	0.13628401155509143	1.4736964510705188	-3.548696131767761	0.6931471805599453	0.000282685718551994	regulation of cell-substrate adhesion	30. regulation of cell-substrate adhesion	['GO:0010810']	GO:0010810	0
31	0.44518145869908604	0.9238174964357341	1.5014715332130883	-3.528692534092301	0.6931471805599453	0.000296010738151222	actin filament-based movement	31. actin filament-based movement	['GO:0030048']	GO:0030048	0
32	0.5241215394375525	0.6356215200219053	1.5630506828074837	-3.5266530581327316	0.6931471805599453	0.000297404093477438	intracellular potassium ion homeostasis	32. intracellular potassium ion homeostasis	['GO:0030007']	GO:0030007	0
33	-0.9772312945207705	0.765778248839651	1.4960484616065646	-3.4692665459804846	0.6931471805599453	0.000339416893297374	regulation of wound healing	33. regulation of wound healing	['GO:0061041']	GO:0061041	0
34	1.2532079559265186	0.3054457386397949	1.1660451782824137	-3.4507400799550836	0.6931471805599453	0.0003542092676629	actin filament organization	34. actin filament organization	['GO:0007015']	GO:0007015	0
35	0.7055539592829654	-1.2919350318206955	1.4627674309374654	-3.384724444522567	0.6931471805599453	0.00041235907379342	cell fate commitment	35. cell fate commitment	['GO:0045165']	GO:0045165	0
