Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0048771	GO:0048771	tissue remodeling	1.865e-08	0.000e+00	4.623e+00	2.380e-05
GO:0048771	GO:0046849	bone remodeling	2.221e-04	0.000e+00	5.101e+00	7.927e-06
GO:0090287	GO:0090287	regulation of cellular response to growth factor stimulus	1.289e-07	0.000e+00	4.059e+00	8.734e-05
GO:0090287	GO:1903844	regulation of cellular response to transforming growth factor beta stimulus	1.372e-05	0.000e+00	4.480e+00	3.308e-05
GO:0050673	GO:0050673	epithelial cell proliferation	8.796e-07	0.000e+00	4.385e+00	4.119e-05
GO:0043627	GO:0043627	response to estrogen	4.506e-06	0.000e+00	4.986e+00	1.032e-05
GO:0045667	GO:0045667	regulation of osteoblast differentiation	7.345e-06	0.000e+00	4.635e+00	2.318e-05
GO:0050678	GO:0050678	regulation of epithelial cell proliferation	1.115e-05	0.000e+00	4.145e+00	7.164e-05
GO:0050678	GO:0050679	positive regulation of epithelial cell proliferation	6.315e-05	0.000e+00	4.433e+00	3.692e-05
GO:0050678	GO:0050680	negative regulation of epithelial cell proliferation	2.915e-04	0.000e+00	4.588e+00	2.580e-05
GO:0097191	GO:0097191	extrinsic apoptotic signaling pathway	1.115e-05	0.000e+00	4.649e+00	2.241e-05
GO:0017015	GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	1.164e-05	0.000e+00	4.485e+00	3.271e-05
GO:0017015	GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	4.570e-05	0.000e+00	4.639e+00	2.294e-05
GO:0071560	GO:0071560	cellular response to transforming growth factor beta stimulus	1.221e-05	0.000e+00	5.054e+00	8.834e-06
GO:0071560	GO:0071559	response to transforming growth factor beta	1.522e-05	0.000e+00	4.994e+00	1.015e-05
GO:0090101	GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	1.791e-05	0.000e+00	4.277e+00	5.283e-05
GO:0090101	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	1.954e-05	0.000e+00	4.055e+00	8.813e-05
GO:0007178	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	2.050e-05	0.000e+00	3.818e+00	1.522e-04
GO:0007178	GO:0007179	transforming growth factor beta receptor signaling pathway	4.466e-05	0.000e+00	4.310e+00	4.900e-05
GO:0030316	GO:0030316	osteoclast differentiation	4.570e-05	0.000e+00	5.037e+00	9.190e-06
GO:0040013	GO:0040013	negative regulation of locomotion	4.572e-05	0.000e+00	4.154e+00	7.007e-05
GO:0040013	GO:0050920	regulation of chemotaxis	3.562e-04	0.000e+00	4.114e+00	7.696e-05
GO:0150115	GO:0150115	cell-substrate junction organization	5.546e-05	0.000e+00	5.118e+00	7.628e-06
GO:0150115	GO:0007044	cell-substrate junction assembly	3.168e-04	0.000e+00	5.140e+00	7.252e-06
GO:0150115	GO:0048041	focal adhesion assembly	1.726e-04	0.000e+00	5.410e+00	3.893e-06
GO:0072073	GO:0072073	kidney epithelium development	8.715e-05	0.000e+00	4.752e+00	1.768e-05
GO:0007160	GO:0031589	cell-substrate adhesion	5.612e-05	0.000e+00	4.002e+00	9.943e-05
GO:0007160	GO:0007160	cell-matrix adhesion	9.763e-05	0.000e+00	4.213e+00	6.125e-05
GO:0060346	GO:0060346	bone trabecula formation	1.009e-04	0.000e+00	5.912e+00	1.226e-06
GO:0045765	GO:0045765	regulation of angiogenesis	1.219e-04	0.000e+00	4.087e+00	8.193e-05
GO:0045765	GO:1901342	regulation of vasculature development	1.435e-04	0.000e+00	4.080e+00	8.327e-05
GO:2001236	GO:2001236	regulation of extrinsic apoptotic signaling pathway	1.322e-04	0.000e+00	4.566e+00	2.714e-05
GO:0048762	GO:0048762	mesenchymal cell differentiation	1.674e-04	0.000e+00	4.635e+00	2.318e-05
GO:0048762	GO:0014033	neural crest cell differentiation	3.352e-04	0.000e+00	5.515e+00	3.057e-06
GO:0030857	GO:0030857	negative regulation of epithelial cell differentiation	1.705e-04	0.000e+00	5.045e+00	9.012e-06
GO:0022612	GO:0022612	gland morphogenesis	1.918e-04	0.000e+00	5.114e+00	7.692e-06
GO:0060537	GO:0060537	muscle tissue development	1.970e-04	0.000e+00	4.575e+00	2.658e-05
GO:0061440	GO:0061437	renal system vasculature development	2.151e-04	0.000e+00	6.141e+00	7.222e-07
GO:0061440	GO:0061440	kidney vasculature development	2.151e-04	0.000e+00	6.141e+00	7.222e-07
GO:0060485	GO:0060485	mesenchyme development	2.181e-04	0.000e+00	4.884e+00	1.306e-05
GO:0061430	GO:0061430	bone trabecula morphogenesis	2.353e-04	0.000e+00	6.775e+00	1.679e-07
GO:0016049	GO:0016049	cell growth	2.396e-04	0.000e+00	4.320e+00	4.790e-05
GO:2000027	GO:2000027	regulation of animal organ morphogenesis	2.452e-04	0.000e+00	4.532e+00	2.939e-05
GO:0001667	GO:0001667	ameboidal-type cell migration	2.662e-04	0.000e+00	4.212e+00	6.135e-05
GO:0010810	GO:0010810	regulation of cell-substrate adhesion	2.827e-04	0.000e+00	4.365e+00	4.312e-05
GO:0030048	GO:0030048	actin filament-based movement	2.960e-04	0.000e+00	4.488e+00	3.249e-05
GO:0030007	GO:0030007	intracellular potassium ion homeostasis	2.974e-04	0.000e+00	4.773e+00	1.685e-05
GO:0061041	GO:0061041	regulation of wound healing	3.394e-04	0.000e+00	4.464e+00	3.435e-05
GO:0007015	GO:0007015	actin filament organization	3.542e-04	0.000e+00	3.209e+00	6.176e-04
GO:0045165	GO:0045165	cell fate commitment	4.124e-04	0.000e+00	4.318e+00	4.810e-05
