Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0048193	GO:0048193	Golgi vesicle transport	4.567e-11	0.000e+00	3.078e+00	8.359e-04
GO:0048193	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	3.277e-08	0.000e+00	3.428e+00	3.730e-04
GO:0048193	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	6.038e-04	0.000e+00	3.729e+00	1.868e-04
GO:0006900	GO:0006900	vesicle budding from membrane	7.757e-10	0.000e+00	4.552e+00	2.805e-05
GO:0006900	GO:0090114	COPII-coated vesicle budding	1.890e-07	0.000e+00	4.715e+00	1.926e-05
GO:0006900	GO:0016050	vesicle organization	4.583e-07	0.000e+00	3.787e+00	1.634e-04
GO:0007030	GO:0007030	Golgi organization	1.594e-07	0.000e+00	4.054e+00	8.840e-05
GO:0016032	GO:0016032	viral process	2.313e-07	0.000e+00	1.600e+00	2.510e-02
GO:0009101	GO:0009101	glycoprotein biosynthetic process	9.492e-07	0.000e+00	4.040e+00	9.127e-05
GO:0009101	GO:0009100	glycoprotein metabolic process	1.346e-05	0.000e+00	3.735e+00	1.839e-04
GO:0006901	GO:0006901	vesicle coating	1.041e-06	0.000e+00	4.560e+00	2.757e-05
GO:0006901	GO:0048208	COPII vesicle coating	6.920e-05	0.000e+00	4.577e+00	2.648e-05
GO:0035459	GO:0035459	vesicle cargo loading	3.579e-06	0.000e+00	5.184e+00	6.553e-06
GO:0035459	GO:0090110	COPII-coated vesicle cargo loading	6.639e-04	0.000e+00	5.280e+00	5.243e-06
GO:0006486	GO:0006486	protein glycosylation	3.597e-06	0.000e+00	2.795e+00	1.603e-03
GO:0006486	GO:0043413	macromolecule glycosylation	3.597e-06	0.000e+00	2.795e+00	1.603e-03
GO:0006486	GO:0070085	glycosylation	1.190e-05	0.000e+00	2.705e+00	1.973e-03
GO:0006486	GO:0006493	protein O-linked glycosylation	1.231e-04	0.000e+00	3.569e+00	2.696e-04
GO:0034250	GO:0034250	positive regulation of amide metabolic process	4.002e-06	0.000e+00	3.506e+00	3.116e-04
GO:0034250	GO:0045727	positive regulation of translation	1.446e-04	0.000e+00	3.517e+00	3.041e-04
GO:0034250	GO:0006417	regulation of translation	4.533e-04	0.000e+00	2.560e+00	2.753e-03
GO:0051645	GO:0051645	Golgi localization	1.858e-05	0.000e+00	5.499e+00	3.171e-06
GO:0019082	GO:0019082	viral protein processing	1.977e-05	0.000e+00	3.585e+00	2.600e-04
GO:0019080	GO:0019080	viral gene expression	1.980e-05	0.000e+00	7.629e+00	2.351e-08
GO:0048199	GO:0048199	vesicle targeting, to, from or within Golgi	3.059e-05	0.000e+00	5.327e+00	4.709e-06
GO:0048199	GO:0006903	vesicle targeting	4.163e-04	0.000e+00	5.233e+00	5.851e-06
GO:0072594	GO:0072594	establishment of protein localization to organelle	5.194e-05	0.000e+00	2.967e+00	1.079e-03
GO:0072594	GO:0070972	protein localization to endoplasmic reticulum	8.429e-04	0.000e+00	3.283e+00	5.214e-04
GO:0048207	GO:0048207	vesicle targeting, rough ER to cis-Golgi	6.920e-05	0.000e+00	8.474e+00	3.359e-09
GO:0022613	GO:0022613	ribonucleoprotein complex biogenesis	6.934e-05	0.000e+00	2.475e+00	3.353e-03
GO:0019058	GO:0019058	viral life cycle	8.427e-05	0.000e+00	3.613e+00	2.437e-04
GO:0010998	GO:0010998	regulation of translational initiation by eIF2 alpha phosphorylation	1.143e-04	0.000e+00	4.996e+00	1.010e-05
GO:0010998	GO:0043558	regulation of translational initiation in response to stress	4.979e-04	0.000e+00	4.925e+00	1.189e-05
GO:0006413	GO:0006413	translational initiation	1.470e-04	0.000e+00	2.504e+00	3.135e-03
GO:0022604	GO:0022604	regulation of cell morphogenesis	1.693e-04	0.000e+00	2.373e+00	4.238e-03
GO:0001553	GO:0001553	luteinization	2.575e-04	0.000e+00	5.894e+00	1.276e-06
GO:0046718	GO:0046718	viral entry into host cell	3.097e-04	0.000e+00	2.389e+00	4.082e-03
GO:0046718	GO:0044000	movement in host	1.938e-04	0.000e+00	2.268e+00	5.392e-03
GO:0046718	GO:0051701	biological process involved in interaction with host	1.909e-04	0.000e+00	1.786e+00	1.635e-02
GO:0046718	GO:0044403	biological process involved in symbiotic interaction	1.546e-04	0.000e+00	1.786e+00	1.638e-02
GO:0046718	GO:0044409	entry into host	4.827e-04	0.000e+00	2.389e+00	4.082e-03
GO:0006457	GO:0006457	protein folding	5.249e-04	0.000e+00	2.332e+00	4.655e-03
GO:0006364	GO:0016072	rRNA metabolic process	3.300e-04	0.000e+00	2.091e+00	8.116e-03
GO:0006364	GO:0006364	rRNA processing	5.515e-04	0.000e+00	2.097e+00	7.991e-03
GO:0006364	GO:0034470	ncRNA processing	4.122e-04	0.000e+00	1.615e+00	2.425e-02
GO:0051656	GO:0051656	establishment of organelle localization	5.613e-04	0.000e+00	3.810e+00	1.549e-04
GO:0051656	GO:0051648	vesicle localization	8.886e-04	0.000e+00	4.525e+00	2.984e-05
GO:0006986	GO:0006986	response to unfolded protein	5.743e-04	0.000e+00	4.322e+00	4.768e-05
GO:0050687	GO:0050687	negative regulation of defense response to virus	5.799e-04	0.000e+00	4.923e+00	1.194e-05
GO:0006605	GO:0006605	protein targeting	6.771e-04	0.000e+00	2.675e+00	2.113e-03
