dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.09619753579433546	1.4011587843554947	1.5075327209395222	-5.179751386242759	1.3862943611198906	6.61071773110183e-06	epithelial cell development	1. epithelial cell development	['GO:0002064', 'GO:0001885', 'GO:0061028']	GO:0002064	0
2	0.1799141141046012	-1.0187485089978647	1.6877830400720397	-4.5702577294102955	0.6931471805599453	2.68993800287359e-05	positive regulation of viral life cycle	2. positive regulation of viral life cycle	['GO:1903902']	GO:1903902	0
3	-0.030113747885489386	1.3615839057850048	1.4089556473317222	-4.222881875472897	0.6931471805599453	5.98574380229485e-05	epithelial cell differentiation	3. epithelial cell differentiation	['GO:0030855']	GO:0030855	0
4	-1.1982759343210647	-0.5174240862972607	1.7169407542493298	-4.1444218743543315	0.6931471805599453	7.17097363302056e-05	spindle elongation	4. spindle elongation	['GO:0051231']	GO:0051231	0
5	-0.5682023848649895	0.1281855456118483	1.184533570559472	-4.100991439044531	0.6931471805599453	7.92516952680966e-05	DNA replication initiation	5. DNA replication initiation	['GO:0006270']	GO:0006270	0
6	1.239741948427238	-0.176879122529303	1.7128781313604782	-3.8239977813146466	0.6931471805599453	0.000149969249697959	regulation of metaphase plate congression	6. regulation of metaphase plate congression	['GO:0090235']	GO:0090235	0
7	1.4863044067464335	-0.39670145856510086	1.4935010486442486	-3.456781771086289	1.0986122886681098	0.000349315799306206	regulation of potassium ion transmembrane transporter activity	7. regulation of potassium ion transmembrane transporter activity	['GO:1901016', 'GO:1901379']	GO:1901016	0
8	-1.4578636980296482	-0.4229650126998704	1.270735996974212	-3.4213742762745674	0.6931471805599453	0.000378988231011875	meiotic cell cycle process	8. meiotic cell cycle process	['GO:1903046']	GO:1903046	0
9	0.3997084919783272	-1.3188186305948937	1.5777383424545186	-3.382520180777566	1.0986122886681098	0.000414457324605087	positive regulation of cytokinesis	9. positive regulation of cytokinesis	['GO:0032467', 'GO:0032465']	GO:0032467	0
10	1.2503849127158186	-0.5345166135194006	1.5580110183518991	-3.3323979567666133	1.0986122886681098	0.000465159658742381	regulation of early endosome to late endosome transport	10. regulation of early endosome to late endosome transport	['GO:2000641', 'GO:1903649']	GO:2000641	0
11	0.6814048290909837	0.9318994587621069	1.5832740963017107	-3.1827211499791996	1.3862943611198906	0.000656566696646659	metaphase plate congression	11. metaphase plate congression	['GO:0051310', 'GO:0051303', 'GO:0050000']	GO:0051310	0
12	-0.2728226617603702	0.4212307415124147	1.3161914467282263	-3.176879460735459	1.0986122886681098	0.000665457829666398	histone deacetylation	12. histone deacetylation	['GO:0016575', 'GO:0006476']	GO:0016575	0
13	-0.9503229641528649	0.9708494133260696	1.2770678030453555	-2.9624939372121446	0.6931471805599453	0.00109019971155947	DNA unwinding involved in DNA replication	13. DNA unwinding involved in DNA replication	['GO:0006268']	GO:0006268	0
