dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.5419967897881619	0.23307718606641936	1.7338178360517997	-2.760800460291307	0.6931471805599453	0.00173460078944449	hepatocyte growth factor receptor signaling pathway	1. hepatocyte growth factor receptor signaling pathway	['GO:0048012']	GO:0048012	0
2	-1.0708376789909673	0.8773420669179	1.427318456480379	-2.749003721180225	0.6931471805599453	0.00178236349549672	post-translational protein modification	2. post-translational protein modification	['GO:0043687']	GO:0043687	0
3	-0.9392138096186086	1.0233674225260285	1.3765573176390022	-2.689714628917872	1.3862943611198906	0.002043079993581	protein O-linked mannosylation	3. protein O-linked mannosylation	['GO:0035269', 'GO:0035268', 'GO:0097502']	GO:0035269	0
4	0.31656306483743946	-0.7194913627808494	1.6805103501839231	-2.4541244318051203	1.3862943611198906	0.00351459727680665	regulation of platelet aggregation	4. regulation of platelet aggregation	['GO:0090330', 'GO:0034110', 'GO:0010543']	GO:0090330	0
5	1.0532260708692356	-0.9545779841474595	1.4143331170764366	-2.345435327089769	1.3862943611198906	0.00451403240995147	regulation of chemotaxis	5. regulation of chemotaxis	['GO:0050920', 'GO:0050921', 'GO:0050922']	GO:0050920	0
6	-0.5890392392885012	1.2732072074158227	1.3126272303711344	-2.3102564124779077	0.6931471805599453	0.00489489733645067	protein polyubiquitination	6. protein polyubiquitination	['GO:0000209']	GO:0000209	0
7	-1.2241242065744389	-0.10362035842319862	1.7586314608200297	-2.2712897490107586	0.6931471805599453	0.00535439308338053	endothelial cell chemotaxis	7. endothelial cell chemotaxis	['GO:0035767']	GO:0035767	0
8	-0.751586565779551	-0.33196445786592066	1.7331106662943763	-2.2712897490107586	0.6931471805599453	0.00535439308338053	protein localization to endosome	8. protein localization to endosome	['GO:0036010']	GO:0036010	0
9	-0.6973189860516114	0.9984867759552991	1.5116676102246263	-2.2177456674779608	1.0986122886681098	0.00605695479675614	peptidyl-tyrosine phosphorylation	9. peptidyl-tyrosine phosphorylation	['GO:0018108', 'GO:0018212']	GO:0018108	0
10	0.02728768835663732	1.1236115849676582	1.4460792716414683	-2.193308210104259	1.3862943611198906	0.00640754684411281	translesion synthesis	10. translesion synthesis	['GO:0019985', 'GO:0000731', 'GO:0006301']	GO:0019985	0
11	0.6127364152974646	-0.9951432742454778	1.6499785725504248	-2.193308210104259	1.0986122886681098	0.00640754684411281	negative regulation of axon extension	11. negative regulation of axon extension	['GO:0030517', 'GO:0050771']	GO:0030517	0
12	1.1797009592488625	-0.5151804213317355	1.6895237544204547	-2.122225048007004	0.6931471805599453	0.00754701046135606	positive regulation of smooth muscle cell migration	12. positive regulation of smooth muscle cell migration	['GO:0014911']	GO:0014911	0
13	-0.793045916704065	-1.0171931008306314	1.6435353513800404	-2.100396658255579	0.6931471805599453	0.0079360307467088	endothelial cell differentiation	13. endothelial cell differentiation	['GO:0045446']	GO:0045446	0
14	0.9909203535379209	-0.24488828952276573	1.675935741167732	-2.088920932395366	0.6931471805599453	0.00814852622494186	positive regulation of cell-substrate junction organization	14. positive regulation of cell-substrate junction organization	['GO:0150117']	GO:0150117	0
15	1.4564557961382494	0.3526989748384121	1.2747859011520375	-2.0340401666348296	1.3862943611198906	0.00924612655245487	negative regulation of cell cycle process	15. negative regulation of cell cycle process	['GO:0045786', 'GO:0010948', 'GO:0000077']	GO:0010948	0
16	1.3110467239849184	-0.6870625801473346	1.289467571279828	-2.005579885277972	0.6931471805599453	0.009872340246015	positive regulation of response to external stimulus	16. positive regulation of response to external stimulus	['GO:0032103']	GO:0032103	0
17	-0.2509553441153847	0.9674833731255622	0.7229017390126188	-2.005579885277972	0.6931471805599453	0.009872340246015	DNA replication	17. DNA replication	['GO:0006260']	GO:0006260	0
18	1.4018353662053118	0.5943804028280523	1.5213457962810875	-1.9966490440417919	1.0986122886681098	0.0100774570520188	mitotic G2 DNA damage checkpoint signaling	18. mitotic G2 DNA damage checkpoint signaling	['GO:0007095', 'GO:0044818']	GO:0007095	0
19	1.016260131264162	-0.0466698228913207	1.4692233282412785	-1.9966490440417919	0.6931471805599453	0.0100774570520188	positive regulation of ubiquitin-protein transferase activity	19. positive regulation of ubiquitin-protein transferase activity	['GO:0051443']	GO:0051443	0
20	0.8358404325886475	-0.805940859201714	1.635567666019745	-1.9681416841278485	1.6094379124341003	0.0107611408515529	negative regulation of JNK cascade	20. negative regulation of JNK cascade	['GO:0046329', 'GO:0032873', 'GO:0046328', 'GO:0070303']	GO:0046329	0
21	-0.4059490775157625	-0.0453143974423268	1.555996181429192	-1.952704798063268	0.6931471805599453	0.0111505220779413	neuron apoptotic process	21. neuron apoptotic process	['GO:0051402']	GO:0051402	0
22	-0.8524541298010159	-1.1349815798050011	1.634532612494876	-1.940633318321868	0.6931471805599453	0.0114648052449742	columnar/cuboidal epithelial cell development	22. columnar/cuboidal epithelial cell development	['GO:0002066']	GO:0002066	0
23	0.7239339666814361	0.35393020565694444	1.4098173699375218	-1.940633318321868	0.6931471805599453	0.0114648052449742	semaphorin-plexin signaling pathway	23. semaphorin-plexin signaling pathway	['GO:0071526']	GO:0071526	0
24	-1.026438617041482	-0.9394429552351304	1.7705225700332172	-1.9308614632319459	0.6931471805599453	0.0117256934695464	endothelium development	24. endothelium development	['GO:0003158']	GO:0003158	0
25	0.29356624883868054	1.009756441481596	1.6973947307346735	-1.914059390902274	0.6931471805599453	0.0121882291031805	response to dexamethasone	25. response to dexamethasone	['GO:0071548']	GO:0071548	0
26	0.6941145251962276	-0.4518833376395402	1.5084045556692276	-1.8676207761235581	0.6931471805599453	0.0135637327409771	negative regulation of neuron apoptotic process	26. negative regulation of neuron apoptotic process	['GO:0043524']	GO:0043524	0
27	-0.5077680334127277	-0.5395875805877635	1.4516036874913387	-1.863486194195365	0.6931471805599453	0.0136934791795499	toxin transport	27. toxin transport	['GO:1901998']	GO:1901998	0
28	-1.2886605044730906	-0.23689067072520983	1.606966495082569	-1.839385280374244	0.6931471805599453	0.0144748715879328	positive chemotaxis	28. positive chemotaxis	['GO:0050918']	GO:0050918	0
29	1.474127072197346	0.0739607946755706	1.5191483911731714	-1.819699189972071	0.6931471805599453	0.0151460996568802	positive regulation of mitotic cell cycle	29. positive regulation of mitotic cell cycle	['GO:0045931']	GO:0045931	0
30	-0.7935086705460125	1.2047181275354732	1.2109068803123204	-1.771336500057985	0.6931471805599453	0.0169302550206664	protein acetylation	30. protein acetylation	['GO:0006473']	GO:0006473	0
31	-0.7598999231077794	0.0513111918556253	1.625391075716887	-1.7713032721689987	0.6931471805599453	0.0169315504047409	adherens junction organization	31. adherens junction organization	['GO:0034332']	GO:0034332	0
32	-0.34654096039424653	0.3005966713902881	1.6482360704147936	-1.7628254018700487	0.6931471805599453	0.0172653186499754	postsynapse organization	32. postsynapse organization	['GO:0099173']	GO:0099173	0
33	-0.6659236181752587	-1.217888828107105	1.5743692617407212	-1.7498914305748996	0.6931471805599453	0.0177872401828445	pancreas development	33. pancreas development	['GO:0031016']	GO:0031016	0
34	-0.9663463234401973	0.5497934336938307	1.585524371787296	-1.689056375647299	0.6931471805599453	0.0204617900555012	membrane protein proteolysis	34. membrane protein proteolysis	['GO:0033619']	GO:0033619	0
