Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0007127	GO:0007127	meiosis I	8.228e-07	0.000e+00	4.822e+00	1.505e-05
GO:0007127	GO:0140013	meiotic nuclear division	2.694e-06	0.000e+00	4.341e+00	4.559e-05
GO:0061982	GO:0061982	meiosis I cell cycle process	1.284e-06	0.000e+00	4.102e+00	7.909e-05
GO:0061982	GO:1903046	meiotic cell cycle process	8.057e-06	0.000e+00	3.563e+00	2.732e-04
GO:0061982	GO:0000712	resolution of meiotic recombination intermediates	6.411e-03	0.000e+00	5.000e+00	9.989e-06
GO:0051321	GO:0051321	meiotic cell cycle	2.519e-06	0.000e+00	3.842e+00	1.438e-04
GO:0000280	GO:0000280	nuclear division	8.437e-06	0.000e+00	4.223e+00	5.990e-05
GO:0000280	GO:0048285	organelle fission	2.672e-05	0.000e+00	3.818e+00	1.520e-04
GO:0090068	GO:0090068	positive regulation of cell cycle process	3.939e-05	0.000e+00	4.043e+00	9.059e-05
GO:0090068	GO:0045787	positive regulation of cell cycle	8.514e-05	0.000e+00	3.915e+00	1.215e-04
GO:0090068	GO:1901989	positive regulation of cell cycle phase transition	3.341e-03	0.000e+00	4.382e+00	4.148e-05
GO:1902850	GO:1902850	microtubule cytoskeleton organization involved in mitosis	1.971e-04	0.000e+00	4.118e+00	7.613e-05
GO:1902850	GO:0007052	mitotic spindle organization	2.160e-03	0.000e+00	4.282e+00	5.220e-05
GO:0007131	GO:0007131	reciprocal meiotic recombination	5.356e-04	0.000e+00	4.254e+00	5.567e-05
GO:0007131	GO:0140527	reciprocal homologous recombination	5.356e-04	0.000e+00	4.254e+00	5.567e-05
GO:0007131	GO:0035825	homologous recombination	1.101e-03	0.000e+00	4.185e+00	6.534e-05
GO:0008654	GO:0008654	phospholipid biosynthetic process	5.531e-04	0.000e+00	2.126e+00	7.489e-03
GO:0008654	GO:0006644	phospholipid metabolic process	3.785e-03	0.000e+00	2.060e+00	8.711e-03
GO:0046474	GO:0045017	glycerolipid biosynthetic process	3.461e-04	0.000e+00	2.642e+00	2.278e-03
GO:0046474	GO:0046474	glycerophospholipid biosynthetic process	6.833e-04	0.000e+00	2.674e+00	2.120e-03
GO:0046474	GO:0006650	glycerophospholipid metabolic process	8.801e-04	0.000e+00	2.571e+00	2.687e-03
GO:1902808	GO:1902808	positive regulation of cell cycle G1/S phase transition	1.319e-03	0.000e+00	5.027e+00	9.402e-06
GO:1902808	GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	6.373e-03	0.000e+00	5.126e+00	7.477e-06
GO:0046427	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	1.360e-03	0.000e+00	5.230e+00	5.888e-06
GO:0046427	GO:1904894	positive regulation of receptor signaling pathway via STAT	2.062e-03	0.000e+00	5.170e+00	6.768e-06
GO:0046006	GO:0046006	regulation of activated T cell proliferation	1.574e-03	0.000e+00	5.250e+00	5.623e-06
GO:0046006	GO:0046007	negative regulation of activated T cell proliferation	5.284e-03	0.000e+00	5.726e+00	1.878e-06
GO:0046471	GO:0046471	phosphatidylglycerol metabolic process	2.062e-03	0.000e+00	3.667e+00	2.151e-04
GO:0046471	GO:0046486	glycerolipid metabolic process	3.355e-03	0.000e+00	2.527e+00	2.975e-03
