dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.42815857058937223	1.3314588696532235	1.6813391022949404	-3.8765193195675005	1.6094379124341003	0.000132886444134604	regulation of macrophage chemotaxis	1. regulation of macrophage chemotaxis	['GO:0010758', 'GO:0010759', 'GO:1905521', 'GO:1905523']	GO:0010758	0
2	-1.4000267577921452	-0.9172399503527064	1.7442758770196265	-3.5110080641720662	1.0986122886681098	0.000308313070078305	macrophage chemotaxis	2. macrophage chemotaxis	['GO:0048246', 'GO:1905517']	GO:0048246	0
3	-0.896457772458715	1.0049568757869691	1.7125099159368908	-3.409905211032524	0.6931471805599453	0.00038913006712391	O-glycan processing	3. O-glycan processing	['GO:0016266']	GO:0016266	0
4	-1.4446200376426126	-0.9943322706076374	1.519077505378966	-3.3411537851258992	1.3862943611198906	0.000455875460344587	leukocyte chemotaxis	4. leukocyte chemotaxis	['GO:0030595', 'GO:0050900', 'GO:0060326']	GO:0030595	0
5	0.4756052968558814	1.3417236196561084	1.5213457962810875	-3.2364940097824912	1.6094379124341003	0.000580104173836004	regulation of leukocyte chemotaxis	5. regulation of leukocyte chemotaxis	['GO:0002688', 'GO:0002690', 'GO:0050920', 'GO:0002685']	GO:0002688	0
6	-1.5089676228220386	-0.5919666894698373	1.535255474739203	-3.2139253305569833	1.0986122886681098	0.000611047074876307	myeloid leukocyte migration	6. myeloid leukocyte migration	['GO:0097529', 'GO:0071621']	GO:0097529	0
7	0.07902040690150895	-0.2415935429759935	1.774522396974537	-2.908339748821467	0.6931471805599453	0.00123498092915849	chronic inflammatory response	7. chronic inflammatory response	['GO:0002544']	GO:0002544	0
8	-0.8184226755269816	0.6566033634312882	1.3775142078806168	-2.908339748821467	1.0986122886681098	0.00123498092915849	protein prenylation	8. protein prenylation	['GO:0018342', 'GO:0097354']	GO:0018342	0
9	0.6838800456133258	-0.8384446644591426	1.5518558553428201	-2.8023942177855745	0.6931471805599453	0.00157617989014741	erythrocyte differentiation	9. erythrocyte differentiation	['GO:0030218']	GO:0030218	0
10	-1.181005848899968	-0.23167818466782128	1.7572022223754384	-2.6876615258651277	1.0986122886681098	0.00205276140696782	erythrocyte homeostasis	10. erythrocyte homeostasis	['GO:0034101', 'GO:0002262']	GO:0034101	0
11	1.1053824744986909	0.18421989341350123	1.7125099159368908	-2.6739380848357426	1.3862943611198906	0.00211866316079308	negative regulation of bone mineralization	11. negative regulation of bone mineralization	['GO:0030502', 'GO:0070168', 'GO:0030279']	GO:0030502	0
12	-0.39912505576145013	0.4030975062341296	1.3044318040785905	-2.608483680232415	1.0986122886681098	0.00246329440131963	cAMP metabolic process	12. cAMP metabolic process	['GO:0046058', 'GO:0009187']	GO:0046058	0
13	-0.4690921215864583	0.775450091464923	1.31783293833929	-2.5752664957248106	0.6931471805599453	0.00265909286235259	glycoprotein metabolic process	13. glycoprotein metabolic process	['GO:0009100']	GO:0009100	0
14	0.029464862416229178	-1.2689969943898796	0.9840081762304119	-2.5263582424602893	0.6931471805599453	0.00297606051269336	protein targeting	14. protein targeting	['GO:0006605']	GO:0006605	0
15	0.8895736580110409	0.847272415548496	1.5347600275314959	-2.480879194695212	0.6931471805599453	0.00330461450895454	positive regulation of hormone secretion	15. positive regulation of hormone secretion	['GO:0046887']	GO:0046887	0
