dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.5586176930790989	-0.8319251107029184	1.6972408592476766	-4.057345026152941	0.6931471805599453	8.7630436270828e-05	regulation of Rac protein signal transduction	1. regulation of Rac protein signal transduction	['GO:0035020']	GO:0035020	0
2	-1.1492613558003875	0.7590339447831354	1.6697130693848559	-3.426720641426848	1.0986122886681098	0.000374351311156854	smooth muscle cell differentiation	2. smooth muscle cell differentiation	['GO:0051145', 'GO:0042692']	GO:0051145	0
3	1.0008160201149015	0.5880375190017418	1.620150214051803	-3.3232235599248536	1.6094379124341003	0.000475090602615808	cellular response to transforming growth factor beta stimulus	3. cellular response to transforming growth factor beta stimulus	['GO:0071559', 'GO:0071560', 'GO:0071363', 'GO:0070848']	GO:0071560	0
4	0.9714701967073291	0.8451650343377909	1.7753075988931275	-3.2957424502553847	0.6931471805599453	0.000506124720267943	maintenance of blood-brain barrier	4. maintenance of blood-brain barrier	['GO:0035633']	GO:0035633	0
5	0.3038357435068454	-0.6259442915241499	1.4608867758826078	-3.1917592011245723	1.3862943611198906	0.000643044160692765	transforming growth factor beta receptor signaling pathway	5. transforming growth factor beta receptor signaling pathway	['GO:0007178', 'GO:0007179', 'GO:0032924']	GO:0007179	0
6	-1.196059787900282	-1.0741953614612358	1.4681345258170115	-3.090804278083064	1.0986122886681098	0.000811326613094163	meiotic nuclear division	6. meiotic nuclear division	['GO:0140013', 'GO:1903046']	GO:0140013	0
7	0.26805099892778494	-1.1632414133129862	1.7737448750129383	-3.004482084080106	0.6931471805599453	0.000989732692400502	regulation of deacetylase activity	7. regulation of deacetylase activity	['GO:0150065']	GO:0150065	0
8	0.4444149299222937	0.8458858238201168	0.9820779374028881	-2.93888947974434	1.0986122886681098	0.00115109328453317	dephosphorylation	8. dephosphorylation	['GO:0016311', 'GO:0006470']	GO:0016311	0
9	-0.9791128353248075	0.4412598767650418	1.7674252919400255	-2.930181892918254	0.6931471805599453	0.00117440558276956	endocardial cushion formation	9. endocardial cushion formation	['GO:0003272']	GO:0003272	0
10	-1.135346539560734	-0.6757413162145349	1.346023760611645	-2.920371428393679	0.6931471805599453	0.00120123664296079	meiotic cell cycle	10. meiotic cell cycle	['GO:0051321']	GO:0051321	0
11	1.3584778549857837	-0.7433120237382431	1.6184342229217987	-2.8299696830357908	1.0986122886681098	0.00147921164446808	negative regulation of epithelial cell differentiation	11. negative regulation of epithelial cell differentiation	['GO:0030856', 'GO:0030857']	GO:0030857	0
12	-0.7828828457380114	1.1031321326895893	1.7486915444605902	-2.699511047103932	1.3862943611198906	0.00199750995734176	epithelial to mesenchymal transition involved in endocardial cushion formation	12. epithelial to mesenchymal transition involved in endocardial cushion formation	['GO:0003198', 'GO:0060317', 'GO:0001837']	GO:0003198	0
13	0.4386896842720382	-1.1972677800910105	1.257961569738574	-2.692913476245459	0.6931471805599453	0.00202808673156141	positive regulation of hydrolase activity	13. positive regulation of hydrolase activity	['GO:0051345']	GO:0051345	0
14	1.453552423441681	-0.5542242105565304	1.612859160846372	-2.6414343127809032	0.6931471805599453	0.00228331425078316	positive regulation of epithelial to mesenchymal transition	14. positive regulation of epithelial to mesenchymal transition	['GO:0010718']	GO:0010718	0
15	-0.7968933364049344	0.5681408200248597	1.800694337271841	-2.623018800154996	0.6931471805599453	0.0023822163434666	cardiac conduction system development	15. cardiac conduction system development	['GO:0003161']	GO:0003161	0
16	0.25607622163823257	1.2392632512154598	1.1466045929587079	-2.6026365430764065	0.6931471805599453	0.00249668330338983	microtubule cytoskeleton organization	16. microtubule cytoskeleton organization	['GO:0000226']	GO:0000226	0
17	-0.449199329968562	-0.5520006212464579	1.4663287128043243	-2.594329990641708	0.6931471805599453	0.00254489582566375	cell-cell junction organization	17. cell-cell junction organization	['GO:0045216']	GO:0045216	0
18	-1.0704888050204817	1.021623550223599	1.5410291077966731	-2.590638752256213	0.6931471805599453	0.00256661807117612	stem cell differentiation	18. stem cell differentiation	['GO:0048863']	GO:0048863	0
19	0.3472176665503194	0.6597804401061138	1.2994518879986476	-2.532475309066111	0.6931471805599453	0.0029344363306528	phosphatidylglycerol metabolic process	19. phosphatidylglycerol metabolic process	['GO:0046471']	GO:0046471	0
20	1.0326537985745976	-0.16409412911743979	1.525682516968911	-2.480784667262178	0.6931471805599453	0.00330533386123219	positive regulation of organelle assembly	20. positive regulation of organelle assembly	['GO:1902117']	GO:1902117	0
21	0.589685129781769	-0.25295642092657566	1.6936277094536571	-2.4595255661649627	0.6931471805599453	0.00347115841177052	Rac protein signal transduction	21. Rac protein signal transduction	['GO:0016601']	GO:0016601	0
22	0.29205494779866265	0.3512169372087336	1.6140155141814478	-2.449407607017698	1.0986122886681098	0.00355297697435386	primary miRNA processing	22. primary miRNA processing	['GO:0031053', 'GO:0070918']	GO:0031053	0
23	-1.140909057387223	0.8956377790961871	1.4627674309374654	-2.4386978970047584	0.6931471805599453	0.00364168269990242	cell fate commitment	23. cell fate commitment	['GO:0045165']	GO:0045165	0
24	-1.175311711769435	-0.895478715406217	1.542884380416721	-2.410780134168474	1.0986122886681098	0.00388346920661586	meiotic chromosome segregation	24. meiotic chromosome segregation	['GO:0045132', 'GO:0061982']	GO:0045132	0
25	-0.6887834732388431	0.8443542063688856	1.7032900407188298	-2.3658737988790017	1.0986122886681098	0.00430651734890397	endocardial cushion morphogenesis	25. endocardial cushion morphogenesis	['GO:0003203', 'GO:0072132']	GO:0003203	0
26	0.4406319482627819	-0.422634419745742	1.598875504048753	-2.3047200868480275	0.6931471805599453	0.00495769623199619	SMAD protein signal transduction	26. SMAD protein signal transduction	['GO:0060395']	GO:0060395	0
27	0.6307719462624426	0.9361595715389227	1.5758432808039187	-2.2591029967822234	1.0986122886681098	0.00550677082971271	peptidyl-threonine phosphorylation	27. peptidyl-threonine phosphorylation	['GO:0018210', 'GO:0018107']	GO:0018107	0
28	-0.9381790616122592	1.11252271272994	1.6065693361984386	-2.231248080629815	0.6931471805599453	0.00587153858720997	keratinocyte differentiation	28. keratinocyte differentiation	['GO:0030216']	GO:0030216	0
29	-1.5450485666159768	0.08566424919893598	1.5825427208894158	-2.2252691823176525	0.6931471805599453	0.00595293057477584	sex differentiation	29. sex differentiation	['GO:0007548']	GO:0007548	0
30	1.030007200649575	-0.9855795550668203	1.5774024939427818	-2.215867037660267	1.3862943611198906	0.00608321214631784	negative regulation of blood coagulation	30. negative regulation of blood coagulation	['GO:0061045', 'GO:0030195', 'GO:0061041']	GO:0030195	0
31	0.8982497599785308	-0.7447130297238458	1.165703335685487	-2.196727521542531	0.6931471805599453	0.00635729666620768	RNA-mediated gene silencing	31. RNA-mediated gene silencing	['GO:0031047']	GO:0031047	0
32	1.3989617544497994	-0.3372240634781384	1.5326939435229172	-2.1567134584824195	0.6931471805599453	0.00697086290350412	regulation of muscle cell differentiation	32. regulation of muscle cell differentiation	['GO:0051147']	GO:0051147	0
33	-0.6667592125625312	-1.0763453867962056	1.5375431271637976	-2.1559350473911856	0.6931471805599453	0.00698336838762993	centrosome cycle	33. centrosome cycle	['GO:0007098']	GO:0007098	0
