dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.2422197775888966	1.7698937280343667	1.408854419435465	-8.182153980789149	1.6094379124341003	6.57424703555935e-09	plasma membrane bounded cell projection morphogenesis	1. plasma membrane bounded cell projection morphogenesis	['GO:0120039', 'GO:0048858', 'GO:0048812', 'GO:0007409']	GO:0120039	0
2	-0.1208896168052914	1.7252492657729817	1.4018496483141099	-7.5659585561550475	1.0986122886681098	2.71669850551919e-08	cell part morphogenesis	2. cell part morphogenesis	['GO:0032990', 'GO:0032989']	GO:0032990	0
3	-0.8549790528082766	-0.5427094540674169	1.4379759871540843	-7.503056479172182	1.0986122886681098	3.14010030324355e-08	ameboidal-type cell migration	3. ameboidal-type cell migration	['GO:0001667', 'GO:0010631']	GO:0001667	0
4	-1.4632874486423912	-0.34018639640539866	1.0337402666477924	-7.431227334427218	1.0986122886681098	3.70486737190402e-08	localization within membrane	4. localization within membrane	['GO:0051668', 'GO:0072657']	GO:0051668	0
5	0.40510725107286943	-0.2433098675629901	1.3465024132280343	-7.406518551982773	1.0986122886681098	3.92176393172307e-08	Ras protein signal transduction	5. Ras protein signal transduction	['GO:0007265', 'GO:0007264']	GO:0007265	0
6	-0.7080536502883912	0.1126917201215556	1.453502328370746	-7.222478132416889	1.0986122886681098	5.99131105283846e-08	cellular response to growth factor stimulus	6. cellular response to growth factor stimulus	['GO:0071363', 'GO:0070848']	GO:0071363	0
7	1.1274439647005943	0.014668491790159421	1.4305282067834562	-7.206188924374752	1.0986122886681098	6.2202963442625e-08	negative regulation of cell adhesion	7. negative regulation of cell adhesion	['GO:0007162', 'GO:0030155']	GO:0007162	0
8	-0.7788969807926848	-0.19723294496343885	1.501782116718682	-6.758542501034731	1.0986122886681098	1.74364271231882e-07	developmental cell growth	8. developmental cell growth	['GO:0048588', 'GO:1990138']	GO:0048588	0
9	-0.623287355146037	0.8951358954851834	1.2404983334797355	-6.562745596660793	0.6931471805599453	2.73687147600568e-07	actin cytoskeleton organization	9. actin cytoskeleton organization	['GO:0030036']	GO:0030036	0
10	0.9784458900856949	-0.12187305026437507	1.4241848736405296	-6.290317446506901	1.0986122886681098	5.12486646169906e-07	negative regulation of locomotion	10. negative regulation of locomotion	['GO:0040013', 'GO:0050922']	GO:0040013	0
11	-1.2664557804242995	0.06819435741518799	0.884999676128617	-6.239119969072294	1.0986122886681098	5.76607160006537e-07	endocytosis	11. endocytosis	['GO:0006897', 'GO:0006898']	GO:0006897	0
