"","condition_mir1827_vs_mirctrl","condition_mir323_vs_mirctrl","condition_mir449b_vs_mirctrl","condition_mir4774_vs_mirctrl","condition_mir491_vs_mirctrl","condition_mir5681b_vs_mirctrl","condition_mir892b_vs_mirctrl","Database"
"cell cycle checkpoints r-hsa-69620",-2.22502888862105,NA,-2.22016278590845,NA,-2.29503042179703,NA,-2.0491873671345,"Reactome"
"cell cycle r-hsa-1640170",-2.12688491884251,-2.08473270692343,-2.32919818546777,NA,-2.22151571026949,NA,-2.08871608527454,"Reactome"
"cell cycle, mitotic r-hsa-69278",-2.17259816275363,-1.88398721856615,-2.30864704282854,NA,-2.10754634056093,NA,-2.18853660812977,"Reactome"
"eml4 and nudc in mitotic spindle formation r-hsa-9648025",-2.36412381903255,NA,-2.18605195775697,NA,NA,NA,NA,"Reactome"
"m phase r-hsa-68886",-2.0715907365563,NA,-1.97473819556543,NA,NA,NA,-2.17733053490993,"Reactome"
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-2.58503774454941,NA,-2.31733029508432,NA,NA,NA,-2.33278871326304,"Gene Ontology BP"
"mitotic anaphase r-hsa-68882",-2.15319167528691,NA,-2.03446231239369,NA,NA,NA,-2.16153051022543,"Reactome"
"mitotic g2-g2/m phases r-hsa-453274",-1.86458712192599,NA,-2.06779051180988,NA,NA,NA,NA,"Reactome"
"mitotic metaphase and anaphase r-hsa-2555396",-2.15319167528691,NA,-2.03446231239369,NA,NA,NA,-2.16153051022543,"Reactome"
"mitotic prometaphase r-hsa-68877",-2.37890079879954,NA,-2.30517096884631,NA,-1.99502690603967,NA,-2.43701290866523,"Reactome"
"mitotic spindle checkpoint r-hsa-69618",-2.38366373806846,NA,-2.10312037607613,NA,NA,NA,NA,"Reactome"
"mitotic spindle organization (go:0007052)",-2.53658151480598,NA,-2.33847931479226,NA,NA,NA,-2.32053056610779,"Gene Ontology BP"
"mrna splicing - major pathway r-hsa-72163",2.28284753976191,NA,NA,NA,NA,NA,NA,"Reactome"
"mrna splicing r-hsa-72172",2.28284753976191,NA,NA,NA,NA,NA,NA,"Reactome"
"resolution of sister chromatid cohesion r-hsa-2500257",-2.42308992601626,NA,-2.2952859471137,NA,NA,NA,-2.4157493965189,"Reactome"
"rho gtpase effectors r-hsa-195258",-1.98019052102851,NA,-1.95570791575419,NA,NA,NA,-1.82293024014179,"Reactome"
"rho gtpases activate formins r-hsa-5663220",-2.38562989262439,NA,-2.14135128295905,NA,NA,NA,NA,"Reactome"
"separation of sister chromatids r-hsa-2467813",-2.40477979922758,NA,-2.20846137048707,NA,NA,NA,-2.21823732917731,"Reactome"
"signaling by rho gtpases r-hsa-194315",-1.60032261033891,NA,NA,NA,NA,NA,NA,"Reactome"
"signaling by rho gtpases, miro gtpases and rhobtb3 r-hsa-9716542",-1.58758974217909,NA,NA,NA,NA,NA,NA,"Reactome"
"transcription by rna polymerase ii (go:0006366)",2.24600846679985,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"unattached kinetochores signal amplification via a mad2 inhibitory signal r-hsa-141444",-2.38366373806846,NA,-2.18605195775697,NA,NA,NA,NA,"Reactome"
