"","condition_mir1827_vs_mirctrl","condition_mir323_vs_mirctrl","condition_mir449b_vs_mirctrl","condition_mir4774_vs_mirctrl","condition_mir491_vs_mirctrl","condition_mir5681b_vs_mirctrl","condition_mir892b_vs_mirctrl","Database"
"activation of apc/c and apc/c:cdc20 mediated degradation of mitotic proteins r-hsa-176814",-2.36967346801966,NA,-2.39712294119147,NA,-2.3713133868497,-2.12167282439839,-2.50776522596393,"Reactome"
"activation of atr in response to replication stress r-hsa-176187",-2.13538867419624,NA,-2.38045235338251,NA,-2.32724341160944,-2.0718863591066,-2.2414387926606,"Reactome"
"activation of pre-replicative complex r-hsa-68962",-2.14877423546096,NA,NA,NA,NA,NA,-2.17343884575758,"Reactome"
"anaphase-promoting complex-dependent catabolic process (go:0031145)",-2.34767869929801,NA,-2.35797698001579,NA,-2.38960263431621,-2.13136049313453,-2.47194933315453,"Gene Ontology BP"
"anchoring of basal body to plasma membrane r-hsa-5620912",-1.8931782823317,NA,NA,NA,NA,NA,NA,"Reactome"
"antigen processing and presentation of exogenous peptide antigen via mhc class ii (go:0019886)",-1.97686811037893,NA,-1.90862161920031,NA,NA,NA,-1.96304345830639,"Gene Ontology BP"
"antigen processing and presentation of peptide antigen via mhc class ii (go:0002495)",-1.97686811037893,NA,-1.90862161920031,NA,NA,NA,-1.96304345830639,"Gene Ontology BP"
"apc/c-mediated degradation of cell cycle proteins r-hsa-174143",-2.50437238056237,NA,-2.47556277374553,-2.42030487411494,-2.51660530405608,-2.3167027757957,-2.59085273182922,"Reactome"
"apc/c:cdc20 mediated degradation of mitotic proteins r-hsa-176409",-2.27108834137815,NA,-2.27463128234442,NA,-2.30768213628513,-1.9872438351297,-2.42824508367654,"Reactome"
"apc:cdc20 mediated degradation of cell cycle proteins before cycle checkpoint satisfied r-hsa-179419",-2.07296828278211,NA,-2.09488362179182,NA,NA,NA,NA,"Reactome"
"aurka activation by tpx2 r-hsa-8854518",-2.11984649780595,NA,-2.16738725178593,NA,-1.83799271150745,-1.96173746920595,-1.99594162627302,"Reactome"
"cell cycle",-2.62790561911,-2.47603669509875,-2.78386820442864,-2.25690699289164,-2.67345548499177,-2.38237699009954,-2.7174832222256,"KEGG"
"cell cycle checkpoints r-hsa-69620",-3.20067655358301,-3.10746541820209,-3.24051609749056,-2.56257126335094,-2.91697647919259,-2.62046663670055,-3.13871613250023,"Reactome"
"cell cycle g2/m phase transition (go:0044839)",-2.17915072781087,NA,-2.37182447851438,-2.0767461685173,-2.10621426074293,-2.09245108940121,-2.17968748021764,"Gene Ontology BP"
"cell cycle r-hsa-1640170",-3.37739804914413,-3.18268795693943,-3.31387497961911,-2.49275953943735,-2.81765743998573,-2.75978088886557,-3.05159465549034,"Reactome"
"cell cycle, mitotic r-hsa-69278",-3.36805974725904,-3.13531469828201,-3.31872247015053,-2.50944082277378,-2.82620833842762,-2.79300198566066,-3.00098393578473,"Reactome"
"cellular macromolecule biosynthetic process (go:0034645)",-2.38254647884887,-2.50130289275198,-2.41015600419022,-1.97018823267102,-2.44781613330524,-2.12878266007847,-2.33936897993008,"Gene Ontology BP"
"cellular response to dna damage stimulus (go:0006974)",-1.90248182021962,-2.12868335913519,-2.18907055679428,-1.70058630886533,-2.1331122368502,-1.75102656399286,-2.2069567332723,"Gene Ontology BP"
"cellular response to interferon-gamma (go:0071346)",2.56337585587644,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"cellular response to tumor necrosis factor (go:0071356)",2.22643599576723,NA,NA,NA,NA,NA,NA,"Gene Ontology BP"
"cellular response to type i interferon (go:0071357)",3.45609764837582,NA,NA,NA,NA,3.37161123776735,NA,"Gene Ontology BP"
"cenp-a containing chromatin organization (go:0061641)",-2.61365197424297,NA,NA,NA,-2.31670702001098,NA,-2.24562274868469,"Gene Ontology BP"
"cenp-a containing nucleosome assembly (go:0034080)",-2.61365197424297,NA,NA,NA,-2.31670702001098,NA,-2.24562274868469,"Gene Ontology BP"
"centromere complex assembly (go:0034508)",-2.76132899509204,NA,-2.70017755920845,NA,-2.4298911926111,-2.16020598471041,-2.52825895967158,"Gene Ontology BP"
"chromatin remodeling at centromere (go:0031055)",-2.66667349030357,NA,NA,NA,-2.34015452448563,NA,-2.30867904462047,"Gene Ontology BP"
"chromosome maintenance r-hsa-73886",-2.60473793557108,-2.27431110681039,-2.57546542567791,-2.01129779185543,-2.38976804246675,-2.10636022785754,-2.426716001081,"Reactome"
"copi-dependent golgi-to-er retrograde traffic r-hsa-6811434",-2.41203242070824,-2.32069678322533,-2.33893218096452,-2.21889210143208,-2.20776961886736,-2.29389980831686,-2.39933722338352,"Reactome"
"coronavirus disease",2.56785851329933,NA,NA,NA,NA,NA,NA,"KEGG"
"cytokine signaling in immune system r-hsa-1280215",2.19276255120199,NA,NA,NA,1.75282919697114,NA,NA,"Reactome"
"cytokine-mediated signaling pathway (go:0019221)",2.56615032343466,NA,NA,NA,2.09449162191076,NA,NA,"Gene Ontology BP"
"cytoskeleton-dependent cytokinesis (go:0061640)",-2.67542159998373,-2.23298241097564,-2.54832949428424,-2.22025276614867,-2.2296805683781,-2.24159735801953,-2.4162008025239,"Gene Ontology BP"
"defective homologous recombination repair (hrr) due to brca2 loss of function r-hsa-9701190",-2.16127359946282,NA,NA,NA,NA,NA,NA,"Reactome"
"defense response to symbiont (go:0140546)",3.00573932163967,NA,NA,NA,NA,3.12851176874509,NA,"Gene Ontology BP"
"defense response to virus (go:0051607)",2.94179145494551,NA,NA,NA,NA,2.90163879905068,NA,"Gene Ontology BP"
