"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"apc/c-mediated degradation of cell cycle proteins r-hsa-174143",-2.54681095178327,-2.45418063539593,-2.58398879821673,-2.51179697626815,-2.61968094293959,-2.45700341848936,-2.6590984410563
"apc:cdc20 mediated degradation of cell cycle proteins before cycle checkpoint satisfied r-hsa-179419",-2.18478960454071,NA,-2.22026337001873,NA,-2.27410210047009,-1.96595781051982,-2.37666007509982
"cell cycle",-2.72196115791849,-2.56610426443425,-2.7909959959699,-2.40190664727278,-2.74088675274661,-2.50315283066712,-2.82625428057828
"cell cycle checkpoints r-hsa-69620",-3.22205787778766,-3.07517807450564,-3.1710500202741,-2.59811670308803,-2.98330369218984,-2.7353024228721,-3.10420418026007
"cell cycle g2/m phase transition (go:0044839)",-2.30961996375808,-1.89433102879447,-2.32906312910885,-2.08198037900812,-2.24276377432886,-2.23396519394404,-2.29444495241354
"cell cycle r-hsa-1640170",-3.22555105104583,-3.12626090672917,-3.17939437334978,-2.57253186556313,-2.90776898785076,-2.74694848966464,-2.99622500346574
"cell cycle, mitotic r-hsa-69278",-3.2926577895477,-3.14310364973875,-3.22508204491874,-2.58325946199669,-2.92784657976173,-2.82859498672124,-3.01169239348167
"dna damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (go:0006977)",-1.92185065998972,NA,-2.14059960421319,-1.88250863860304,-2.15735503844135,NA,-2.06041438114149
"g1/s transition of mitotic cell cycle (go:0000082)",-1.9320508819454,-1.94277024632851,-2.29663743374039,-1.88258487684228,-2.19451202941505,-2.05705318598386,-2.25223269964625
"g2/m transition of mitotic cell cycle (go:0000086)",-2.3206392314371,-1.91954805923446,-2.33640926897991,-2.08046353301208,-2.24519418936086,-2.23396519394404,-2.29096826650177
"mitotic cell cycle phase transition (go:0044772)",-2.37273338959387,-2.07701948088103,-2.48126182705643,-2.15006708941264,-2.29176601230928,-2.31101533769041,-2.37062508681774
"negative regulation of cell cycle process (go:0010948)",-2.22674558199938,-2.12417943348705,-2.30590771916156,NA,-2.23726410451872,-2.02341714857811,-2.1629741883241
"positive regulation of cell cycle process (go:0090068)",-2.63856686180855,-2.43757552521864,-2.57933517262622,-2.2197315925948,-2.39234274352705,-2.32661391053971,-2.58553577985516
"positive regulation of mitotic cell cycle phase transition (go:1901992)",-2.62874399919099,NA,-2.54545147261249,-2.17447084255737,-2.51783182209132,-2.31705112207075,-2.52560707129825
"regulation of cell cycle (go:0051726)",-2.11247586218961,-2.3119179112731,-2.25575589964314,-2.22562564103975,-2.22598560762102,-2.03142648226763,-2.34819900507255
"regulation of cell cycle g2/m phase transition (go:1902749)",-2.47519443853785,-2.01548614412949,-2.43555098407023,-2.36579016369712,-2.20721855802573,-2.25148701497219,-2.37653193400775
"regulation of cell cycle phase transition (go:1901987)",-2.30084293169721,-1.99748003126881,-2.14842055829819,-2.15670148913286,-2.26142075611941,-2.16312246050924,-2.43046276014795
"regulation of cell cycle process (go:0010564)",-2.74495756855895,-2.31894933972809,-2.58399446646194,-2.29239571446379,-2.60107797137415,-2.36716580135417,-2.67179005146112
"regulation of cell division (go:0051302)",-2.4324170499011,-1.98454659237567,-2.35400817972176,NA,-2.24985991033666,NA,-2.33117667518578
"regulation of g2/m transition of mitotic cell cycle (go:0010389)",-2.38259673239959,-2.14649269754031,-2.45136884545779,-2.22491927491381,-2.32541519010311,-2.16898915773491,-2.55730625201957
"regulation of mitotic cell cycle (go:0007346)",-2.30968631181308,-2.12385635352469,-2.30447366552931,-2.43503277782879,-2.2566755692901,-2.14012167562564,-2.53601919472218
"regulation of mitotic cell cycle phase transition (go:1901990)",-2.59841338475838,-2.41104682663081,-2.49761136598938,-2.47709655475408,-2.43503858770454,-2.36499860282541,-2.58466815873922
"tp53 regulates transcription of cell cycle genes r-hsa-6791312",-2.13777410357671,-1.85689733317714,-2.27168934849379,-2.1803596408591,-2.16555912360282,NA,-2.21860608239623
