"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"apc/c-mediated degradation of cell cycle proteins r-hsa-174143",-2.58466686238266,NA,-2.53507373788594,-2.43884412984539,-2.52337698048168,-2.37580934204156,-2.69132624717852
"apc:cdc20 mediated degradation of cell cycle proteins before cycle checkpoint satisfied r-hsa-179419",-2.16423582685442,NA,-2.17558327175947,NA,NA,-1.99813187038565,NA
"cell cycle",-2.70852075408949,-2.51837301748136,-2.74162335215309,-2.30703386363666,-2.65495809534976,-2.38517206495196,-2.77466488543473
"cell cycle checkpoints r-hsa-69620",-3.11213764559732,-3.05903639830037,-3.19253219440331,-2.52152622762909,-2.90177837084643,-2.68382102714277,-3.07281369340147
"cell cycle g2/m phase transition (go:0044839)",-2.27650835690819,-1.8744224908885,-2.43792710375586,-2.15205714540976,-2.22118310253288,-2.21917482575408,-2.28672566199891
"cell cycle r-hsa-1640170",-3.26521683836619,-3.14069427476268,-3.19743333268942,-2.49533521290431,-2.85431933718866,-2.70695522094273,-2.98650087997665
"cell cycle, mitotic r-hsa-69278",-3.31164414814351,-3.15245708171274,-3.22401035242269,-2.51653272757242,-2.8641556274936,-2.76047620909937,-2.95475608196704
"dna damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (go:0006977)",-1.93242624879172,NA,-2.08424175737724,NA,NA,NA,NA
"g1/s transition of mitotic cell cycle (go:0000082)",-1.94079422775808,-1.82994618465945,-2.19209395028825,-1.82378338630135,-2.06666170313899,-1.92120692128456,-2.14305320284949
"g2/m transition of mitotic cell cycle (go:0000086)",-2.27650835690819,-1.88107884843206,-2.43961617552618,-2.15205714540976,-2.22369079955038,-2.21917482575408,-2.28313197822035
"mitotic cell cycle phase transition (go:0044772)",-2.36592762700309,-2.00598148260865,-2.45080922611037,-2.08470349048787,-2.28374312796071,-2.21517100996905,-2.33625384470024
"negative regulation of cell cycle process (go:0010948)",-2.27845934209687,NA,NA,NA,NA,NA,-2.16332497132049
"positive regulation of cell cycle process (go:0090068)",-2.78152311274104,-2.39775356019205,-2.55517063824842,-2.12845600182621,-2.34712558991474,-2.17250874619488,-2.57794949587482
"positive regulation of cell population proliferation (go:0008284)",-1.72205092079951,NA,-2.02116365689116,-1.48775220839856,NA,-1.58242653432861,-1.85873766961235
"regulation of cell cycle (go:0051726)",-2.18856534580302,-2.15957388721781,-2.33626578766061,-2.13965280704697,-2.24947073887292,-2.06012496013059,-2.3645965093255
"regulation of cell cycle g2/m phase transition (go:1902749)",-2.44449372621368,-1.97200004083107,-2.46336441847687,-2.37496314738982,-2.17163809805898,-2.23740976593716,-2.38909829731201
"regulation of cell cycle phase transition (go:1901987)",-2.33347131966546,NA,-2.09322291162292,-2.08919573593128,-2.17588021314224,-2.0417547444706,-2.45940595661366
"regulation of cell cycle process (go:0010564)",-2.74458610372015,-2.34608922588553,-2.56866637897337,-2.25146559806208,-2.51954049373404,-2.34720354887276,-2.63762208616161
"regulation of cell division (go:0051302)",-2.50411711631324,-2.02830055010671,-2.39370218190973,NA,-2.20392077551055,NA,-2.35754676872372
"regulation of cell population proliferation (go:0042127)",-1.47577497329767,NA,-1.82203561308893,-1.41641782637861,NA,-1.41239083838659,-1.71256052250934
"regulation of g2/m transition of mitotic cell cycle (go:0010389)",-2.35622941107999,-2.14888029484168,-2.47560468033171,-2.28550465172806,-2.27696335156013,-2.12202090645713,-2.529797358004
"regulation of mitotic cell cycle (go:0007346)",-2.31419505514824,-2.05292238420384,-2.351172351145,-2.33852515622588,-2.22902036028428,-2.1264084557241,-2.55941260801549
"regulation of mitotic cell cycle phase transition (go:1901990)",-2.61570048616651,-2.34640433426212,-2.45629718818354,-2.5189484350401,-2.39622609939044,-2.31892670739886,-2.54588699056878
"tp53 regulates transcription of cell cycle genes r-hsa-6791312",-2.09702653211123,NA,-2.13632375675259,NA,NA,NA,-2.29013761458551
