"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"activation of apc/c and apc/c:cdc20 mediated degradation of mitotic proteins r-hsa-176814",-2.44193985466361,NA,-2.50964240037155,-2.32674856463021,-2.40546868437365,-2.21660127452649,-2.58610398658911
"activation of atr in response to replication stress r-hsa-176187",-2.30500159332288,-2.34706183011676,-2.53668161266289,NA,-2.36683814271074,-2.27819441013224,-2.36921600593228
"activation of pre-replicative complex r-hsa-68962",-2.24919972768052,-2.22984537060077,-2.4389656289643,NA,-2.39487799567527,-2.264655879503,-2.33616342131867
"anaphase-promoting complex-dependent catabolic process (go:0031145)",-2.40857288596534,-2.41482335422808,-2.47337121200346,-2.35146516050385,-2.43684612464616,-2.24962562747206,-2.55919574999514
"anchoring of basal body to plasma membrane r-hsa-5620912",-1.94653688419573,NA,NA,NA,NA,NA,NA
"antigen processing and presentation of exogenous peptide antigen via mhc class ii (go:0019886)",-1.97050457391756,-1.95398888316708,-2.00602287379036,-2.03427424044732,NA,NA,-1.99143119472627
"antigen processing and presentation of peptide antigen via mhc class ii (go:0002495)",-1.97050457391756,-1.95398888316708,-2.00602287379036,-2.03427424044732,NA,NA,-1.99143119472627
"antiviral mechanism by ifn-stimulated genes r-hsa-1169410",2.21249394085105,NA,NA,NA,NA,2.29485986015909,NA
"apc/c-mediated degradation of cell cycle proteins r-hsa-174143",-2.58389136532948,-2.52114296543681,-2.58491410718076,-2.46839202012579,-2.55997145826062,-2.4328245211801,-2.65979162228967
"apc/c:cdc20 mediated degradation of mitotic proteins r-hsa-176409",-2.35120306835682,NA,-2.38993870470671,NA,-2.33535933062651,-2.10933659432677,-2.51579005962587
"apc/c:cdh1 mediated degradation of cdc20 and apc/c:cdh1 targets in late mitosis/early g1 r-hsa-174178",-1.96914105434825,NA,-2.12889695219772,NA,-2.08008352273072,-1.97012379145286,-2.22503799880494
"apc:cdc20 mediated degradation of cell cycle proteins before cycle checkpoint satisfied r-hsa-179419",-2.18280988515078,NA,-2.22039032300169,NA,-2.24215427102683,-1.95566460191297,-2.3931257927604
"aurka activation by tpx2 r-hsa-8854518",-2.22324578234624,-1.9298989838908,-2.21047112582155,-2.11601541239519,-1.94799023782336,-2.12119144423258,-2.08928267711729
"biological oxidations r-hsa-211859",2.02859745013732,2.36151060431695,2.14955510725508,NA,NA,NA,NA
"cdc20:phospho-apc/c mediated degradation of cyclin a r-hsa-174184",-2.02181981151008,NA,-2.06887087143496,NA,-2.1348298549511,NA,-2.28855451044919
"cell cycle",-2.72585061325811,-2.62241688526323,-2.81823814546976,-2.38571846158197,-2.71564395607089,-2.48729095832976,-2.78580059654249
"cell cycle checkpoints r-hsa-69620",-3.21034732374608,-3.08907766578537,-3.1746490136334,-2.58898082947854,-2.97383560180476,-2.74067776270231,-3.09752239954692
"cell cycle g2/m phase transition (go:0044839)",-2.32857699056134,-1.94090011733509,-2.3482497673018,-2.07029055057561,-2.21441562788682,-2.21427716240187,-2.26066079755294
"cell cycle r-hsa-1640170",-3.22911843311402,-3.10680432450669,-3.18633968545297,-2.55938363554822,-2.88328211113933,-2.75076711835371,-2.99115308915996
"cell cycle, mitotic r-hsa-69278",-3.29060658893565,-3.13047855599016,-3.22012466192429,-2.58253294968369,-2.91173975005112,-2.83174766245935,-3.01915447239771
"cellular macromolecule biosynthetic process (go:0034645)",-2.36986032981966,-2.36551022227036,-2.31889637595784,-1.99774147578289,-2.52692889932663,-2.14689109276035,-2.28875729263472
"cellular response to cytokine stimulus (go:0071345)",1.91441136513628,NA,NA,NA,2.09155954519223,NA,NA
"cellular response to dna damage stimulus (go:0006974)",-1.76697483148466,-2.05716383870952,-1.95736553549985,-1.66119937593997,-2.04423866655713,-1.68488017008743,-1.96058555352536
"cellular response to interferon-gamma (go:0071346)",2.80650298965712,2.25373368396572,2.61549907296443,NA,NA,2.84423533979125,NA
"cellular response to interleukin-1 (go:0071347)",2.23745359379563,NA,NA,NA,NA,NA,NA
"cellular response to tumor necrosis factor (go:0071356)",2.46645828811177,NA,NA,NA,NA,NA,NA
"cellular response to type i interferon (go:0071357)",3.63374586080802,NA,2.65571909000562,NA,NA,3.59066340049758,NA
"cellular senescence",-1.94244359256898,NA,-2.12058797206089,NA,-1.96856165163528,NA,-1.96288252408872
"cenp-a containing chromatin organization (go:0061641)",-2.65306612189543,NA,-2.44034672254943,NA,-2.40870337129816,-2.1751361426671,-2.30928307994733
"cenp-a containing nucleosome assembly (go:0034080)",-2.65306612189543,NA,-2.44034672254943,NA,-2.40870337129816,-2.1751361426671,-2.30928307994733
"centromere complex assembly (go:0034508)",-2.79417560471004,-2.56637645322319,-2.73173543161183,-2.22874015867672,-2.560324877121,-2.293842149898,-2.5773875218228
"chemokine signaling pathway",1.91129747948361,NA,NA,NA,NA,NA,NA
