"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143",-2.57580516417027,NA,-2.54774023053493,-2.40399930186141,-2.54188458691124,-2.38837003747113,-2.62257645486314
"APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409",-2.33902817992238,NA,-2.35249355631904,NA,-2.31198920810817,-2.09693144244697,-2.48238940178763
"APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178",-1.9497632897571,NA,-2.12881976770337,NA,NA,-1.95210881260423,NA
"APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419",-2.16412671515566,NA,-2.18780375920945,NA,NA,-1.98368437008842,NA
"AURKA Activation By TPX2 R-HSA-8854518",-2.16682196498675,NA,-2.25772754383628,NA,-1.93544643055642,-2.1626180363293,-2.07324008184906
"Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814",-2.44197731772461,NA,-2.46642436204113,NA,-2.38363337739982,-2.21607649364097,-2.56407383816116
"Activation Of ATR In Response To Replication Stress R-HSA-176187",-2.16166782491359,-2.29083980521407,-2.42506947016215,NA,-2.32800800737368,-2.13742076685106,-2.29166534604268
"Activation Of Pre-Replicative Complex R-HSA-68962",-2.13835543101009,NA,NA,NA,NA,NA,-2.24341284393823
"Anaphase-promoting complex-dependent catabolic process (go:0031145)",-2.39805119049618,NA,-2.40393845867891,NA,-2.42071227044045,-2.2013000969105,-2.51049575437134
"Antigen processing and presentation of exogenous peptide antigen (go:0002478)",-1.94338075997678,NA,-1.96182624332692,-1.92667461849526,NA,NA,-1.96526847366086
"Antigen processing and presentation of exogenous peptide antigen via mhc class ii (go:0019886)",-1.99609620462952,-1.88759402079001,-1.96182624332692,-1.92667461849526,NA,NA,-1.96526847366086
"Antigen processing and presentation of peptide antigen via mhc class ii (go:0002495)",-1.99609620462952,-1.88759402079001,-1.96182624332692,-1.92667461849526,NA,NA,-1.96526847366086
"Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410",2.2735475475448,NA,NA,NA,NA,2.1230987687093,NA
"Biological Oxidations R-HSA-211859",2.29699567513709,NA,2.18089106819534,NA,NA,NA,NA
"COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434",-2.4623399999781,-2.33292270947287,-2.41866685779665,-2.2109382237628,-2.27008912103226,-2.33434534340593,-2.44636433166995
"Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184",-2.00203372625126,NA,-2.04040426249775,NA,NA,NA,NA
"Cell Cycle Checkpoints R-HSA-69620",-3.13094407325181,-3.0422730988812,-3.17919328938424,-2.50030317429612,-2.9373891391217,-2.63404276229134,-3.04742765711506
"Cell Cycle R-HSA-1640170",-3.23625818017438,-3.11855234451399,-3.2046010066925,-2.47211380985267,-2.86411276054152,-2.70456745522301,-2.98753682988619
"Cell Cycle, Mitotic R-HSA-69278",-3.28245902795307,-3.13237335995546,-3.2364267038513,-2.49379442761899,-2.87166379128378,-2.75276693604155,-2.95074941846478
"Cell cycle g2/m phase transition (go:0044839)",-2.25686799236733,-1.8608104115548,-2.44342228736726,-2.11919585952037,-2.2449197128319,-2.21462327347792,-2.2495327606495
"Cellular macromolecule biosynthetic process (go:0034645)",-2.38496686546234,-2.38003631008145,-2.35780891673186,-1.90746797645705,-2.45800195454704,-2.14256939193518,-2.27063048617674
"Cellular response to cytokine stimulus (go:0071345)",1.91096945931487,NA,NA,NA,2.24840117844217,NA,NA
"Cellular response to dna damage stimulus (go:0006974)",-1.80991086058027,-1.99986737875666,-2.05689523252738,NA,-2.03001113212719,NA,-1.97416245646766
"Cellular response to interferon-gamma (go:0071346)",2.82654758115429,NA,2.41640367540609,NA,NA,2.83494487558237,NA
"Cellular response to interleukin-1 (go:0071347)",2.1789388027907,NA,NA,NA,NA,NA,NA
"Cellular response to tumor necrosis factor (go:0071356)",2.40471262666145,2.06166163180227,NA,NA,NA,NA,NA
"Cellular response to type i interferon (go:0071357)",3.76393705986632,NA,NA,NA,NA,3.57474714216591,NA
"Cenp-a containing chromatin organization (go:0061641)",-2.57712793657931,NA,NA,NA,-2.30537095267988,NA,-2.28996898231678
"Cenp-a containing nucleosome assembly (go:0034080)",-2.57712793657931,NA,NA,NA,-2.30537095267988,NA,-2.28996898231678
"Centromere complex assembly (go:0034508)",-2.72941414356019,NA,-2.74647994649102,NA,-2.45011931578166,-2.2272702123052,-2.5758262843962
"Chromatin remodeling at centromere (go:0031055)",-2.6143756161637,NA,-2.52765920089481,NA,-2.33933074530802,NA,-2.35777938031596
"Chromosome Maintenance R-HSA-73886",-2.60802272665055,-2.19568974300653,-2.51651997790374,-1.91977752931396,-2.41341260266504,-1.98326204557978,-2.38179358588339
"Chromosome organization (go:0051276)",-1.95046445263587,-2.13652920110748,-2.2751808405484,NA,-1.91539166581806,-1.93181958293801,-2.00928697620447
"Cytokine Signaling In Immune System R-HSA-1280215",2.55019738237673,NA,NA,NA,2.02696012413899,1.97867786971356,NA
"Cytokine-mediated signaling pathway (go:0019221)",3.0320247556106,NA,NA,NA,2.40017203472505,2.34813931653397,NA
"Cytoskeleton-dependent cytokinesis (go:0061640)",-2.80124909231058,-2.4003166545391,-2.62332897289311,-2.22747337921332,-2.38147283924661,-2.33765095869211,-2.47191762194498
"DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928",2.25790162838981,NA,NA,NA,NA,NA,NA
"DNA Double-Strand Break Repair R-HSA-5693532",-2.23504430300355,-2.09635397599725,-2.1001903411154,NA,-2.14847609103692,-1.96740125458872,-1.87671239678535
"DNA Repair R-HSA-73894",-1.91406189091451,-2.02431394380009,-2.0016471138455,-1.77031320373435,-2.10969147190711,NA,-2.01011602392551
"DNA Replication R-HSA-69306",-2.137079435329,-2.46187105297343,-2.49067906741223,-2.1116019462642,-2.48197824625416,-2.21664213893426,-2.27885679948491
"DNA Strand Elongation R-HSA-69190",-2.21209785808525,-1.9927967911034,NA,NA,-2.28325446697024,-1.99183449946601,-2.04125302229345
"DNA damage response, signal transduction by p53 class mediator (go:0030330)",-1.97554390628546,NA,-2.09735051444554,NA,NA,NA,-2.13487594488927
