"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"activation of apc/c and apc/c:cdc20 mediated degradation of mitotic proteins r-hsa-176814",-2.39955056810232,NA,-2.46436365256189,NA,-2.38153591993182,-2.25041966406752,-2.57125974031519
"anaphase-promoting complex-dependent catabolic process (go:0031145)",-2.34491688774171,NA,-2.41363601798638,NA,-2.41185395143664,-2.20804742800685,-2.51121224556071
"antiviral mechanism by ifn-stimulated genes r-hsa-1169410",2.40846530019138,NA,NA,NA,NA,NA,NA
"apc/c-mediated degradation of cell cycle proteins r-hsa-174143",-2.52313302945053,NA,-2.52488912257912,-2.34710467872662,-2.54353277387211,-2.38700659456652,-2.63731107882518
"apc/c:cdc20 mediated degradation of mitotic proteins r-hsa-176409",-2.30573109970142,NA,-2.35414950616198,NA,-2.29723493892391,-2.12524629445203,-2.49710261325819
"cell cycle",-2.67607032061399,-2.52973515640456,-2.7423386087378,-2.25297852359401,-2.69594459379933,-2.3786313209955,-2.71463932542963
"cell cycle checkpoints r-hsa-69620",-3.21603476770212,-3.04747309991008,-3.2032467946563,-2.51626934103076,-2.93717361184899,-2.62707453864908,-3.07645018900659
"cell cycle g2/m phase transition (go:0044839)",-2.22071290799321,NA,-2.42482821310252,-2.07711842070095,-2.14106300898528,-2.19083025073453,-2.21204932226829
"cell cycle r-hsa-1640170",-3.28209834409113,-3.13103745986114,-3.25288575592233,-2.45178780021139,-2.86043308530262,-2.64503443719393,-3.04005418765054
"cell cycle, mitotic r-hsa-69278",-3.29629835263676,-3.12054304406305,-3.25444216952923,-2.47820602690094,-2.85647563735623,-2.67967845570589,-2.98589960612899
"cellular macromolecule biosynthetic process (go:0034645)",-2.46650414571887,-2.52477676291992,-2.42509162381706,-1.94246692186285,-2.48374179153543,-2.15172496433122,-2.37048243458197
"cellular response to dna damage stimulus (go:0006974)",-1.95722636257415,-2.14663623887073,-2.22426242533144,NA,-2.14752937115946,NA,-2.15307501004407
"cellular response to interferon-gamma (go:0071346)",2.79621102990414,NA,NA,NA,NA,2.86809175483683,NA
"cellular response to tumor necrosis factor (go:0071356)",2.31644805969501,NA,NA,NA,NA,NA,NA
"cellular response to type i interferon (go:0071357)",3.70610861187295,NA,NA,NA,NA,3.62551074207492,NA
"cenp-a containing chromatin organization (go:0061641)",-2.49323372279888,NA,NA,NA,-2.26425895770426,NA,-2.30056608631791
"cenp-a containing nucleosome assembly (go:0034080)",-2.49323372279888,NA,NA,NA,-2.26425895770426,NA,-2.30056608631791
"centromere complex assembly (go:0034508)",-2.67243821733776,NA,-2.76334721824268,NA,-2.42985757159882,-2.2510461560288,-2.58571159953214
"chromatin remodeling at centromere (go:0031055)",-2.53027395949776,NA,-2.53261985647017,NA,-2.31027076268656,NA,-2.36135777655987
"chromosome maintenance r-hsa-73886",-2.58551124804677,-2.25210844467705,-2.55411015510109,NA,-2.40493341481107,NA,-2.46075757239644
"copi-dependent golgi-to-er retrograde traffic r-hsa-6811434",-2.41494649459485,-2.34349698297511,-2.38696083388122,-2.14973180691101,-2.26028567540698,-2.35609177838838,-2.45182030127054
"coronavirus disease",2.72253414340681,NA,NA,NA,NA,2.25565226499564,NA
"cytokine signaling in immune system r-hsa-1280215",2.47564593581974,NA,NA,NA,NA,NA,NA
"cytokine-mediated signaling pathway (go:0019221)",2.86820830214269,NA,NA,NA,2.06544231745408,NA,NA
"cytoskeleton-dependent cytokinesis (go:0061640)",-2.6319176380784,-2.22564997371698,-2.57349187111311,-2.10808068209961,-2.26844067456695,-2.30435646749631,-2.44771672289803
"ddx58/ifih1-mediated induction of interferon-alpha/beta r-hsa-168928",2.27438792142695,NA,NA,NA,NA,NA,NA
"defense response to symbiont (go:0140546)",3.21280584008877,NA,NA,NA,NA,3.65248477684582,NA
"defense response to virus (go:0051607)",3.16685571377923,NA,NA,NA,NA,3.41383018328338,NA
"deposition of new cenpa-containing nucleosomes at centromere r-hsa-606279",-2.49323372279888,NA,NA,NA,NA,NA,NA
"dna double-strand break repair r-hsa-5693532",-2.28626099366856,-2.23894797589165,-2.22032814081695,NA,-2.24595942304455,-1.98229887077389,-2.0692379152726
"dna metabolic process (go:0006259)",-2.30080320385318,-2.38319483606446,-2.48627718498706,-2.07226641362071,-2.41924523232952,-2.09156422993288,-2.27522224358709
"dna repair (go:0006281)",-2.26364717574852,-2.14897769657411,-2.30490514583193,-1.87952137531617,-2.15737612909112,NA,-2.23327797330134
"dna repair r-hsa-73894",-2.05591204671104,-2.13733322507705,-2.1271980320676,NA,-2.16099853576934,NA,-2.13253495520865
"dna replication (go:0006260)",-2.60196753926465,-2.67000638848698,-2.60764752410543,-2.10808179162044,-2.5679401564979,-2.2945865013441,-2.4476781586669
"dna replication initiation (go:0006270)",-2.16163526781158,-2.22302403043552,-2.32156708946948,NA,-2.30982423883797,-2.14057187869335,-2.32377592981269
"dna replication r-hsa-69306",-2.09054777341627,-2.40022615968139,-2.42916641338181,-2.0840969776957,-2.4330610959117,-2.13751635696861,-2.25685217071183
"dna replication-independent nucleosome assembly (go:0006336)",-2.50626043103468,NA,-2.55537168386843,NA,-2.31574704038789,-2.14024983900753,-2.38403511998732
"dna strand elongation r-hsa-69190",-2.13443387745853,NA,NA,NA,-2.23894704594257,NA,NA
"double-strand break repair via homologous recombination (go:0000724)",-2.22760478185623,-2.57134039670085,-2.34577687663908,-2.07235964733016,-2.44449940798752,-2.17803013794665,-2.43532673747102
"eml4 and nudc in mitotic spindle formation r-hsa-9648025",-3.2629711953476,-2.95800362174804,-3.11775536845335,-2.60881926929462,-2.86538115109677,-2.74436746374446,-2.91916617225187
"factors involved in megakaryocyte development and platelet production r-hsa-983231",-2.38908901225953,NA,-2.1613649887394,-2.02834689039668,-2.14719454903952,NA,-2.48814544174866
"g1/s transition r-hsa-69206",-2.16285517826386,-2.41158158167757,-2.58717104171898,-2.08411877834966,-2.53328023605797,-2.25644920707332,-2.51492216052252
"g2/m checkpoints r-hsa-69481",-2.23446908029032,-2.5356175344689,-2.5082304373126,-2.0552138027724,-2.56487240660655,-2.10146455861872,-2.5012748130727
"g2/m transition of mitotic cell cycle (go:0000086)",-2.22071290799321,NA,-2.43131127251039,-2.07711842070095,-2.14339953688695,-2.19083025073453,-2.208575567517
"g2/m transition r-hsa-69275",-2.53685708082346,-2.21883648496144,-2.63286874942087,-2.31799543496924,-2.36721703772511,-2.25430026620968,-2.46487719104465
"golgi-to-er retrograde transport r-hsa-8856688",-2.31037470327779,-2.25242282384067,-2.24952379840902,-2.0924727196331,-2.03879154726623,-2.15215207710219,-2.40521593905122
"hdr thru homologous recombination (hrr) or single strand annealing (ssa) r-hsa-5693567",-2.33441804293254,-2.29920424237485,-2.3674845571517,NA,-2.26119115957606,-2.16326088014935,-2.16368959535304
"hdr thru homologous recombination (hrr) r-hsa-5685942",-2.33769603363992,-2.11957729744674,-2.24833498030333,NA,-2.18012557068091,NA,NA
"herpes simplex virus 1 infection",2.07647514840992,NA,NA,NA,NA,NA,NA
"histone exchange (go:0043486)",-2.44134634535679,NA,-2.46250898211822,NA,-2.25212966700701,NA,-2.32048306721799
"homologous dna pairing and strand exchange r-hsa-5693579",-2.18037682282091,NA,NA,NA,-2.21183746502488,NA,NA
"homology directed repair r-hsa-5693538",-2.36805407857388,-2.28806755733695,-2.40076985793182,NA,-2.28478211531531,-2.17541363769788,-2.16160473404907
"inflammatory response (go:0006954)",2.2022755945931,NA,NA,NA,2.97882759550833,NA,NA
"innate immune response (go:0045087)",2.86760335006963,NA,NA,NA,NA,NA,NA
"interferon alpha/beta signaling r-hsa-909733",3.7449876030293,NA,NA,NA,NA,3.50801195255188,NA
"interferon gamma signaling r-hsa-877300",2.6860601769132,NA,NA,NA,NA,2.86512182594708,NA
"interferon signaling r-hsa-913531",3.30548859199947,NA,NA,NA,NA,3.25389187944129,NA
"interferon-gamma-mediated signaling pathway (go:0060333)",2.5111547701964,NA,NA,NA,NA,2.70163171887744,NA
"intra-golgi and retrograde golgi-to-er traffic r-hsa-6811442",-2.03978556000172,-2.10566444516409,-2.00894977896436,NA,NA,-2.01178214695138,-2.11693709264601
"kinesins r-hsa-983189",-2.63494836565808,NA,-2.42953966932008,NA,NA,NA,-2.51330375583106
"m phase r-hsa-68886",-3.10839331765264,-2.91381439344475,-3.0643289704655,-2.51683619391532,-2.63188600146333,-2.65232992168872,-2.85782896510612
"measles",2.13909018677549,NA,NA,NA,NA,NA,NA
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-3.49780899086629,-3.09352333536374,-3.31212422638302,-2.70128844447821,-2.9632520771116,-2.76800403184117,-3.13881300002496
"mitotic anaphase r-hsa-68882",-3.12234701608674,-2.93496362056796,-3.09614925917616,-2.60936929096164,-2.75979406504782,-2.71774758055561,-2.89666892755782
"mitotic cell cycle phase transition (go:0044772)",-2.33893223851714,NA,-2.43537192198402,-2.02271159714592,-2.23619077814486,-2.1466426966778,-2.31243720464065
"mitotic cytokinesis (go:0000281)",-2.50580298459589,-2.12345518672277,-2.43766418695942,NA,-2.2122240501814,-2.20620685875559,-2.36141646438395
"mitotic dna damage checkpoint signaling (go:0044773)",-2.22162984910802,NA,-2.24578063267525,NA,-2.22531751052428,NA,-2.34934121682052
"mitotic g1 phase and g1/s transition r-hsa-453279",-2.34251943621419,-2.4549743130311,-2.63008915827988,-2.18196324797013,-2.60513969521162,-2.3577354375649,-2.49768783201147
