% GOterm	enrichment_P-value
GO:0007059	9.55896286791192e-11
GO:0000075	2.16837490873646e-08
GO:0000280	3.77347577606938e-08
GO:0048285	9.71210993407202e-08
GO:0007093	2.87373304876223e-07
GO:0010948	3.11428119076042e-07
GO:0007088	3.51214693151514e-07
GO:1901988	4.29716072325671e-07
GO:0051983	5.90600915902442e-07
GO:0140014	7.41564375263626e-07
GO:0045786	8.89535025796115e-07
GO:0051783	1.70433692574499e-06
GO:0098813	1.93687296122656e-06
GO:0051984	2.669716618183e-06
GO:0051304	3.26077869637791e-06
GO:0044770	6.94911678407394e-06
GO:0000070	1.32386301587972e-05
GO:0007094	1.62475032345646e-05
GO:0071173	1.62475032345646e-05
GO:0071174	1.62475032345646e-05
GO:0045930	1.63792357233614e-05
GO:1905818	1.72900133987352e-05
GO:0000819	1.9359811228049e-05
GO:0031577	1.9487515408401e-05
GO:0051276	2.15629775274031e-05
GO:0045841	2.3252996379857e-05
GO:0033046	2.7609901376137e-05
GO:0033048	2.7609901376137e-05
GO:1902100	2.7609901376137e-05
GO:2000816	2.7609901376137e-05
GO:0051985	3.26300029836157e-05
GO:1905819	3.26300029836157e-05
GO:0007346	3.81119624419681e-05
GO:0061028	4.84241264544537e-05
GO:0033047	6.09966226585892e-05
GO:0045839	6.09966226585892e-05
GO:1901991	7.96809656737761e-05
GO:0051784	9.37148776162901e-05
GO:1901987	9.78486309706413e-05
GO:1901978	9.99023228844677e-05
GO:0044772	0.00010905054518173
GO:1901976	0.000183955156477304
GO:0006261	0.000187557491456699
GO:0006268	0.00022162455781641
GO:0090232	0.000238603884033276
GO:0090267	0.000238603884033276
GO:0031570	0.000308793900116629
GO:0001833	0.000337175496201031
GO:0001885	0.000366450796923349
GO:0030071	0.000502008315507797
