"","hsa.miR.1827","hsa.miR.323a.3p","hsa.miR.449b.5p","hsa.miR.4774.3p","hsa.miR.491.3p","hsa.miR.5681b","hsa.miR.892b"
"anaphase-promoting complex-dependent catabolic process (go:0031145)",-2.40857288596534,-2.41482335422808,-2.47337121200346,-2.35146516050385,-2.43684612464616,-2.24962562747206,-2.55919574999514
"apc/c-mediated degradation of cell cycle proteins r-hsa-174143",-2.58389136532948,-2.52114296543681,-2.58491410718076,-2.46839202012579,-2.55997145826062,-2.4328245211801,-2.65979162228967
"aurka activation by tpx2 r-hsa-8854518",-2.22324578234624,-1.9298989838908,-2.21047112582155,-2.11601541239519,-1.94799023782336,-2.12119144423258,-2.08928267711729
"cell cycle",-2.72585061325811,-2.62241688526323,-2.81823814546976,-2.38571846158197,-2.71564395607089,-2.48729095832976,-2.78580059654249
"cell cycle checkpoints r-hsa-69620",-3.21034732374608,-3.08907766578537,-3.1746490136334,-2.58898082947854,-2.97383560180476,-2.74067776270231,-3.09752239954692
"cell cycle g2/m phase transition (go:0044839)",-2.32857699056134,-1.94090011733509,-2.3482497673018,-2.07029055057561,-2.21441562788682,-2.21427716240187,-2.26066079755294
"cell cycle r-hsa-1640170",-3.22911843311402,-3.10680432450669,-3.18633968545297,-2.55938363554822,-2.88328211113933,-2.75076711835371,-2.99115308915996
"cell cycle, mitotic r-hsa-69278",-3.29060658893565,-3.13047855599016,-3.22012466192429,-2.58253294968369,-2.91173975005112,-2.83174766245935,-3.01915447239771
"cellular macromolecule biosynthetic process (go:0034645)",-2.36986032981966,-2.36551022227036,-2.31889637595784,-1.99774147578289,-2.52692889932663,-2.14689109276035,-2.28875729263472
"cellular response to dna damage stimulus (go:0006974)",-1.76697483148466,-2.05716383870952,-1.95736553549985,-1.66119937593997,-2.04423866655713,-1.68488017008743,-1.96058555352536
"centromere complex assembly (go:0034508)",-2.79417560471004,-2.56637645322319,-2.73173543161183,-2.22874015867672,-2.560324877121,-2.293842149898,-2.5773875218228
"chromosome maintenance r-hsa-73886",-2.65302198712085,-2.26962353461153,-2.49924520020296,-1.93411931434536,-2.50190941538179,-2.07416408448933,-2.38305467808199
"copi-dependent golgi-to-er retrograde traffic r-hsa-6811434",-2.44374629796839,-2.40752296027914,-2.42454330484828,-2.29344118357423,-2.29124532476143,-2.40410447965916,-2.49655309336213
"cytoskeleton-dependent cytokinesis (go:0061640)",-2.85341009544678,-2.50148596235059,-2.68528292588665,-2.25918968503894,-2.47640604222187,-2.40271793963005,-2.52332752187398
"dna double-strand break repair r-hsa-5693532",-2.25437401841087,-2.17388249063697,-2.10610499901563,-1.93182569087697,-2.2055244006106,-2.02540414684485,-1.93415518387961
"dna metabolic process (go:0006259)",-2.25079741759843,-2.36141657999221,-2.36088919338681,-2.068957479223,-2.42568363662409,-1.96242657719519,-2.21462478417208
"dna repair (go:0006281)",-2.00818526828118,-2.17247943900531,-1.94631901264803,-1.84056858373109,-2.09186559608075,-1.79771030800715,-1.88598290372883
"dna repair r-hsa-73894",-1.90244572892847,-2.07046482299952,-1.92855711134683,-1.87962584604225,-2.11864675700074,-1.71556573106877,-1.91174944931753
"dna replication (go:0006260)",-2.59920886122036,-2.57255342391757,-2.6160645824731,-2.20482105266276,-2.620712142773,-2.29034684133299,-2.43027095730639
"dna replication initiation (go:0006270)",-2.28814119954848,-2.26819732100097,-2.3853687941632,-2.05613054776309,-2.37974426820656,-2.20581321323678,-2.38154186027756
"dna replication r-hsa-69306",-2.25451126106563,-2.47482907184062,-2.57424715062949,-2.30559773502845,-2.57282310697051,-2.2955413589774,-2.37292352928086
"dna strand elongation r-hsa-69190",-2.33313214942447,-2.14960802351485,-2.27365753997171,-1.91836654088529,-2.36921541250293,-2.05756884396368,-2.11628418639653
"dna-dependent dna replication (go:0006261)",-2.07105504804262,-2.41722309965188,-2.35224653242191,-2.00585282543381,-2.50481531501957,-2.04923080424761,-2.20926186876451
"double-strand break repair via homologous recombination (go:0000724)",-2.17598783888234,-2.55187254143557,-2.20953921552697,-2.14147485934189,-2.37752564842823,-2.0900788359977,-2.34547082491011
"eml4 and nudc in mitotic spindle formation r-hsa-9648025",-3.27758777178477,-2.95008748965452,-3.13248059340373,-2.67693302054002,-2.86244147122584,-2.77977389123164,-2.94803619373573
"factors involved in megakaryocyte development and platelet production r-hsa-983231",-2.42585843558605,-2.13449512495769,-2.29946654311079,-2.1572704151945,-2.18039659484797,-2.08003744901867,-2.41568756667645
"g1/s transition of mitotic cell cycle (go:0000082)",-1.95159413821902,-1.97745786552844,-2.29964110181844,-1.86508581625242,-2.17700012979131,-2.03681012186385,-2.22307952943169
"g1/s transition r-hsa-69206",-2.28243669651729,-2.50446449680247,-2.74258135373601,-2.26080097125172,-2.68719082957462,-2.38511935807663,-2.67287427754721
"g2/m checkpoints r-hsa-69481",-2.3154556131726,-2.55388674547348,-2.62405902502159,-2.22556926795476,-2.56711218174047,-2.18835865469872,-2.51764600550608
"g2/m transition of mitotic cell cycle (go:0000086)",-2.33222558958065,-1.9633323815201,-2.35595470116883,-2.06513432445697,-2.21681532289292,-2.21427716240187,-2.25723530349702
"g2/m transition r-hsa-69275",-2.50107107722568,-2.30016889234263,-2.59049368193698,-2.281801952202,-2.41907501553482,-2.21173090202837,-2.4853814620735
"golgi-to-er retrograde transport r-hsa-8856688",-2.31934087962877,-2.35943950654545,-2.27345669773293,-2.21020511423418,-2.07536289710971,-2.20270195465264,-2.43332307119069
"hdr thru homologous recombination (hrr) or single strand annealing (ssa) r-hsa-5693567",-2.34345853686855,-2.20978134631055,-2.24176510117366,-1.96500363641969,-2.22592604020741,-2.12400470612767,-1.94723784240871
"homology directed repair r-hsa-5693538",-2.37002565012017,-2.23440383037729,-2.29317558245525,-1.99275271737415,-2.2500227785081,-2.12581718815671,-1.96665226507033
"intra-golgi and retrograde golgi-to-er traffic r-hsa-6811442",-2.03469876250821,-2.2362799711626,-1.98741882022274,-1.90405968890811,-1.81238189252938,-2.02291199147502,-2.11919502680759
